artifact_id,relative_path,artifact_class,file_size_bytes,sha256,generated_by,input_dependencies_if_known,git_tracking_status,over_100mb,large_output_artifact,untracked_large_file
ART-bc37d034bad56458,.gitignore,A,554,4aa12530a63cd223433c147203a71dbf8c377784097e1147f0c0e8db967fa70c,AUTHOR_MAINTAINED,NOT_DOCUMENTED,TRACKED_GIT,FALSE,FALSE,FALSE
ART-b335630551682c19,README.md,A,855,9a665151dc95aafd0fa7455510a0b84f6e81728f789769112aff181ff79cfc20,AUTHOR_MAINTAINED,NOT_DOCUMENTED,TRACKED_GIT,FALSE,FALSE,FALSE
ART-1c2ededaa9904c40,analysis/01_tcga_luad_reconnaissance.R,A,18574,f5aa239ac9e06e1dffaafb0a88034aff0adf4f5aacc90923101bedb73d321ca0,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-d261ac844b40681d,analysis/02_cohort_count_diagnostics.R,A,34895,fd77a493e531b505dfea37041b595fb4518f0da17c97a6ae9b7f1bd4a1ae6e7e,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-c5f2ac1d52d6ca98,analysis/03_sample_level_qc.R,A,42883,44d8f68322c760cef9e1e430c653b721cc0d1394edda7b0ed6cf5cfca80de7d9,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-a830f9a687b35cae,analysis/04_tcga_replicate_ffpe_audit.R,A,50887,34ddcbc037fe041e739408a95b00e15535964c6521a8875a825b8bcd9bba9d34,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-c5bb422f5f595a6d,analysis/05_final_cohort_qc.R,A,53814,1a95d863b70b3c37652a78c65d5624cc31b181e65ec3faadd913afa1ee00c52c,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-fabf95f00d30a6cc,analysis/06_primary_differential_expression.R,A,34829,239dd8a11df7ba7a7b86fb1f1509702e80c80fe4822bae42a0ac387ea97995ec,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-83326de40194e8d7,analysis/07_de_sensitivity_analyses.R,A,58716,c48516bf8bcd12ae81f9f7bde893b85588e609a1afdfe0a0c1995274577faa2d,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-f700ea5b0ee7542b,analysis/08_build_candidate_registry.py,A,28480,a40ae1689e4176c612fd3009950b6ec66681b85326e16c52c770b34e3b9c5b8b,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-c0be8530538f9a33,analysis/09_identifier_normalization.py,A,35430,24c4ea201e9149f678c168e692548723c06273246cdfd1f4b5bfcdb56f547723,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-dfb02a9b9c25c782,analysis/10_build_evidence_layer.py,A,46721,50136816005038bed3377923b1e31036ad3d2146daedc994548ccdbfbaec2a7a,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-35776c66ccb80fe5,analysis/11_build_tractability_safety_layer.py,A,46174,933e4b920f06e77bd315aa1bc9fcb6bc7c2d1d822d3b67916022b0d4de932b34,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-af15bc45d78c8d31,analysis/12_build_integrated_registry.py,A,29556,af033762b1a011971686640b21e46cde01198035f8ae9f7bc89dc5efb47bbd4d,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-fd49603b6e765b33,analysis/13_build_evidence_ontology.py,A,42122,142e8fa140067a800571bede88b0695d25738c39ca78f77422e1bf0a4bd73dd0,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-1bf5afde06523498,analysis/14_build_evidence_claim_architecture.py,A,57521,ab05d87c02a3499760014fd02ae43811e2ba3ffb32ab69db993217d7ffea92bf,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-251c7e6b31e9de22,analysis/16_build_evidence_gap_analysis.py,A,41654,2abd1e3bdbb645d9cbe1a4be9c7793cadfc477aeb21b23a321131b70c496c9e7,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-3b0c0a6101474b3d,analysis/17_build_evidence_acquisition_framework.py,A,34104,747f575665a7d5d3bad19640fb01dc1b611f9c0183176560e9f7a7942ce16906,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,TRACKED_GIT,FALSE,FALSE,FALSE
ART-b94c7a19234e3a17,analysis/18_build_artifact_governance_manifest.py,A,31985,12311c9402b2e4c3780644c08c0882362e0e7cd9826e09d825af9870cec22b81,AUTHOR_MAINTAINED,DOCUMENTED_IN_SCRIPT_OR_TASK_SPECIFICATION,UNTRACKED,FALSE,FALSE,FALSE
ART-dd2a58814f505992,docs/artifact_governance_plan_v0.1.md,A,7241,92557a1e2002c841d9acd41b0bd58177a92b18105bc555b57ecd8df1ef841c7a,AUTHOR_MAINTAINED,SCIENTIFIC_OR_GOVERNANCE_DECISIONS_FROM_PRIOR_TASKS,UNTRACKED,FALSE,FALSE,FALSE
ART-add11c69ff232c2a,docs/candidate_generation_decision_v0.1.md,A,5731,65aaef0a2f79d974ecfa6f91339a6099f24fa6ec10ec2f1bad71d2e4ef3d2577,AUTHOR_MAINTAINED,SCIENTIFIC_OR_GOVERNANCE_DECISIONS_FROM_PRIOR_TASKS,TRACKED_GIT,FALSE,FALSE,FALSE
ART-1b377a523db0a5be,docs/de_design_decision_v0.1.md,A,3678,550018f8284b58716c2e3e83ed8d6c0a7dd6cc534f9a417fa4ad8a9844c3233f,AUTHOR_MAINTAINED,SCIENTIFIC_OR_GOVERNANCE_DECISIONS_FROM_PRIOR_TASKS,TRACKED_GIT,FALSE,FALSE,FALSE
ART-5c48df3e7d1e11b1,docs/de_sensitivity_analysis_plan_v0.1.md,A,4839,66a4ff4474a7cb3d15c983004780cb580c05bde7282eb7927ca6d07cfd573863,AUTHOR_MAINTAINED,SCIENTIFIC_OR_GOVERNANCE_DECISIONS_FROM_PRIOR_TASKS,TRACKED_GIT,FALSE,FALSE,FALSE
ART-de87d12a350eaceb,docs/evidence_acquisition_framework_v0.1.md,A,8210,cc7d95487b917c20ceaee5d696dd8be88fbe115f764e9e0c38293fd570818afb,AUTHOR_MAINTAINED,SCIENTIFIC_OR_GOVERNANCE_DECISIONS_FROM_PRIOR_TASKS,TRACKED_GIT,FALSE,FALSE,FALSE
ART-2c53d37e227ea2ef,docs/evidence_claim_model_v0.1.md,A,10169,8f0e11f237c756131593f44367f9774f6a2250c54b6b497a22ba737858869c2b,AUTHOR_MAINTAINED,SCIENTIFIC_OR_GOVERNANCE_DECISIONS_FROM_PRIOR_TASKS,TRACKED_GIT,FALSE,FALSE,FALSE
ART-d270a69683b9a035,docs/evidence_gap_analysis_plan_v0.1.md,A,8035,2234b8e27a2e425aa38537f09923833b2d8214859cd1dd9a330fcfb55fee77c3,AUTHOR_MAINTAINED,SCIENTIFIC_OR_GOVERNANCE_DECISIONS_FROM_PRIOR_TASKS,TRACKED_GIT,FALSE,FALSE,FALSE
ART-af35d509e83aa989,docs/evidence_layer_plan_v0.1.md,A,8219,6e72e4932f02d939498269387ff2e3904ff3ad409440a29f7f3bf7f87d99359c,AUTHOR_MAINTAINED,SCIENTIFIC_OR_GOVERNANCE_DECISIONS_FROM_PRIOR_TASKS,TRACKED_GIT,FALSE,FALSE,FALSE
ART-e7f2de76d4679bc2,docs/evidence_ontology_plan_v0.1.md,A,9126,6ab588b6cd92841d44a0e400a3ef39e9e86a04796772e8869826335e3657c7f3,AUTHOR_MAINTAINED,SCIENTIFIC_OR_GOVERNANCE_DECISIONS_FROM_PRIOR_TASKS,TRACKED_GIT,FALSE,FALSE,FALSE
