EnsemblID,EnsemblID_base,Symbol,gene_type,HGNC_ID,UniProt_ID,OpenTargets_target_ID,ChEMBL_target_ID,U0_tested,U1_DE,U2_effect_supported_DE,effect_band,biotype_track,retrieval_queue,logFC_S0,FDR_S0,P_value_S0,AveExpr_S0,mean_logCPM_Tumor,mean_logCPM_Normal,logFC_S1,FDR_S1,logFC_S2,FDR_S2,logFC_S3,FDR_S3,logFC_S4,FDR_S4,logFC_S5,FDR_S5,logFC_S6,FDR_S6,sign_S0,sign_concordant_S1_S6_count,sign_concordant_all_S1_S6,n_sensitivity_FDR05,median_abs_delta_logFC_vs_S0,max_abs_delta_logFC_vs_S0,S6_sign_flip_vs_S0,model_dependent_any_top50,model_dependent_models,reduced_residual_df_any,reduced_residual_df_models,max_residual_df_loss
ENSG00000248551.1,ENSG00000248551,RP11-287F9.2,lincRNA,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,noncanonical_target_modality,QUEUE_C_NONCANONICAL,-4.40540957433006,1.33675896419681e-123,4.51516234613527e-128,-5.5304691547512,-4.50618113042714,-1.32068255123567,-4.42864490397512,2.21199676246572e-114,-4.5477610425319,1.51393213458757e-172,-4.48518186766829,1.84595154822971e-117,-4.33137452551482,1.07930479166995e-96,-4.38249254444149,2.85930578912619e-148,-4.15816264197289,1.94777899522977e-31,DOWN,6,TRUE,6,0.076903671076734792,0.24724693235716977,FALSE,FALSE,,TRUE,S3;S4,12
ENSG00000108576.9,ENSG00000108576,SLC6A4,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,canonical_protein_target,QUEUE_A_CANONICAL,-8.03892661396647,2.35586568294479e-116,1.59147854012348e-120,-0.376985723630431,-1.01145154823125,6.62628339895313,-8.08272391409558,3.35469994836127e-107,-7.79859927325011,4.83676124122201e-165,-7.74699166636271,1.20394832272929e-114,-7.88884829472563,4.57476264991935e-94,-8.08841367551647,8.61072465975717e-132,-7.72060338434046,6.66331636479801e-31,DOWN,6,TRUE,6,0.19520282997860061,0.31832322962601101,FALSE,FALSE,,FALSE,,0
ENSG00000186994.11,ENSG00000186994,KANK3,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,canonical_protein_target,QUEUE_A_CANONICAL,-3.0354138601341,7.48630381240846e-114,7.58593239114551e-118,2.37203032923298,2.08890140550675,4.93043556500215,-3.05273761170618,1.83014440597848e-104,-2.88093486733682,1.07462842461119e-132,-2.88674822364504,9.04955111553284e-98,-2.99022848417783,1.42189494951772e-95,-3.02641253695215,1.10247028456514e-139,-2.94156956565267,4.54903063506667e-33,DOWN,6,TRUE,6,0.069514835218850157,0.15447899279728006,FALSE,FALSE,,FALSE,,0
ENSG00000224215.1,ENSG00000224215,RP11-371A19.2,antisense,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,noncanonical_target_modality,QUEUE_C_NONCANONICAL,-5.54901404902322,1.98924798019793e-113,2.68762815672219e-117,-3.63360134111278,-3.48211458617195,1.45440933086031,-5.58103736344366,1.73856963803613e-104,-5.63186369815553,3.52904998866105e-164,-5.50048777857896,2.47617997229832e-116,-5.52053262353147,8.16370147842359e-96,-5.55622419671393,3.0683106679629e-142,-5.21432988232812,2.16589426398951e-32,DOWN,6,TRUE,6,0.040274792432350104,0.33468416669509971,FALSE,FALSE,,TRUE,S3;S4,1
ENSG00000244215.1,ENSG00000244215,LINC02016,lincRNA,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,noncanonical_target_modality,QUEUE_C_NONCANONICAL,-5.7632558388681,6.80981301295413e-108,1.15007312925659e-111,-4.59656717118,-4.01935535774798,0.545638766724062,-5.76855606701701,4.0790559591707e-99,-5.73529796367212,8.67246661998944e-155,-5.90384871330888,1.95616890866684e-106,-5.86229160062686,6.31071295100251e-88,-5.71789494935631,1.15423235032319e-124,-5.63830161106835,2.16589426398951e-32,DOWN,6,TRUE,6,0.072198325635274951,0.14059287444078006,FALSE,FALSE,,FALSE,,0
ENSG00000182010.10,ENSG00000182010,RTKN2,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,canonical_protein_target,QUEUE_A_CANONICAL,-4.61631454046385,1.42589856348161e-106,2.88974916601015e-110,3.62980073139095,3.16344487134583,7.74948958722288,-4.61666614035232,1.07552025470446e-96,-4.60233488620397,3.00732395096872e-135,-4.6184805406152,1.95616890866684e-106,-4.59045257094404,2.42963251425192e-91,-4.70080823595971,1.69643258127639e-136,-4.54518372728502,3.94328961521189e-31,DOWN,6,TRUE,6,0.019920811889845069,0.084493695495860166,FALSE,FALSE,,FALSE,,0
ENSG00000237167.1,ENSG00000237167,AC128709.2,lincRNA,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,noncanonical_target_modality,QUEUE_C_NONCANONICAL,-4.40385345271415,3.95413684779718e-105,9.34910421353113e-109,-5.24347543741152,-4.36504082067592,-1.06399309856157,-4.40894555910842,1.00261288346974e-96,-4.53343969733914,3.13673854787487e-149,-4.55311416143862,1.69954083316151e-104,-4.50847104683101,3.76527402422646e-88,-4.37769045765734,4.7209059744577e-123,-4.18904548802591,1.44146159830159e-28,DOWN,6,TRUE,6,0.11710191937092462,0.21480796468824082,FALSE,FALSE,,TRUE,S3;S4,7
ENSG00000180440.3,ENSG00000180440,SERTM1,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,canonical_protein_target,QUEUE_B_MODEL_SENSITIVE,-7.27744991875895,5.22519816616846e-102,1.41192951865661e-105,-2.9068925834938,-2.91192804221294,3.70046718118183,-7.32504969467161,6.3346732884981e-93,-7.32015438501944,1.06064095704341e-155,-7.06333780753032,4.53912331409533e-116,-6.91797919162487,5.42515601300436e-84,-7.27377788832026,4.32819801348945e-135,-6.46072434344383,2.84622835230099e-36,DOWN,6,TRUE,6,0.13085594357064512,0.81672557531511991,FALSE,TRUE,S4,FALSE,,0
ENSG00000198358.4,ENSG00000198358,RP11-544M22.1,antisense,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,noncanonical_target_modality,QUEUE_C_NONCANONICAL,-6.65727329545503,3.14268917877193e-99,9.55353732653766e-103,-3.53418814122059,-3.33679592718328,2.32624464977842,-6.65322568331779,8.45366589816236e-90,-6.56476486643871,3.50008040860265e-149,-6.71118219766873,1.36431903040707e-101,-6.70057285448849,4.53983735508745e-81,-6.63836326189587,1.58114062195702e-130,-6.16283436798792,2.84622835230099e-36,DOWN,6,TRUE,6,0.04860423062357988,0.49443892746710993,FALSE,FALSE,,FALSE,,0
ENSG00000170323.8,ENSG00000170323,FABP4,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,canonical_protein_target,QUEUE_A_CANONICAL,-6.15993807888664,8.15648682957377e-99,2.75501142659386e-102,1.20596964964561,0.635168891290697,6.76312713130658,-6.21427351919757,1.00368106537486e-90,-6.15937739621841,9.53513328305856e-142,-5.95975263710704,2.3459059261094e-97,-6.00298747182906,2.33167282491766e-82,-5.98039990081604,5.26552398626664e-128,-5.75849253487962,8.75785203656909e-30,DOWN,6,TRUE,6,0.16824439256408974,0.40144554400701971,FALSE,FALSE,,FALSE,,0
