candidate_layer,gene_type,count
U0_tested,3prime_overlapping_ncRNA,29
U0_tested,IG_C_gene,14
U0_tested,IG_C_pseudogene,5
U0_tested,IG_D_gene,7
U0_tested,IG_J_gene,16
U0_tested,IG_J_pseudogene,1
U0_tested,IG_V_gene,140
U0_tested,IG_V_pseudogene,101
U0_tested,IG_pseudogene,1
U0_tested,Mt_rRNA,2
U0_tested,Mt_tRNA,22
U0_tested,TEC,423
U0_tested,TR_C_gene,6
U0_tested,TR_J_gene,12
U0_tested,TR_V_gene,80
U0_tested,TR_V_pseudogene,3
U0_tested,antisense,3254
U0_tested,bidirectional_promoter_lncRNA,6
U0_tested,lincRNA,2339
U0_tested,macro_lncRNA,1
U0_tested,miRNA,179
U0_tested,misc_RNA,113
U0_tested,non_coding,3
U0_tested,polymorphic_pseudogene,13
U0_tested,processed_pseudogene,2846
U0_tested,processed_transcript,428
U0_tested,protein_coding,17656
U0_tested,pseudogene,2
U0_tested,rRNA,9
U0_tested,ribozyme,2
U0_tested,sRNA,1
U0_tested,scRNA,1
U0_tested,scaRNA,5
U0_tested,sense_intronic,322
U0_tested,sense_overlapping,117
U0_tested,snRNA,27
U0_tested,snoRNA,144
U0_tested,transcribed_processed_pseudogene,237
U0_tested,transcribed_unitary_pseudogene,62
U0_tested,transcribed_unprocessed_pseudogene,494
U0_tested,unitary_pseudogene,15
U0_tested,unprocessed_pseudogene,468
U1_DE,3prime_overlapping_ncRNA,18
U1_DE,IG_C_gene,13
U1_DE,IG_C_pseudogene,5
U1_DE,IG_D_gene,7
U1_DE,IG_J_gene,16
U1_DE,IG_J_pseudogene,1
U1_DE,IG_V_gene,140
U1_DE,IG_V_pseudogene,101
U1_DE,IG_pseudogene,1
U1_DE,Mt_rRNA,0
U1_DE,Mt_tRNA,14
U1_DE,TEC,285
U1_DE,TR_C_gene,3
U1_DE,TR_J_gene,1
U1_DE,TR_V_gene,9
U1_DE,TR_V_pseudogene,2
U1_DE,antisense,2284
U1_DE,bidirectional_promoter_lncRNA,4
U1_DE,lincRNA,1633
U1_DE,macro_lncRNA,0
U1_DE,miRNA,129
U1_DE,misc_RNA,68
U1_DE,non_coding,2
U1_DE,polymorphic_pseudogene,9
U1_DE,processed_pseudogene,1876
U1_DE,processed_transcript,293
U1_DE,protein_coding,13091
U1_DE,pseudogene,1
U1_DE,rRNA,8
U1_DE,ribozyme,0
U1_DE,sRNA,0
U1_DE,scRNA,0
U1_DE,scaRNA,3
U1_DE,sense_intronic,198
U1_DE,sense_overlapping,90
U1_DE,snRNA,12
U1_DE,snoRNA,107
U1_DE,transcribed_processed_pseudogene,146
U1_DE,transcribed_unitary_pseudogene,41
U1_DE,transcribed_unprocessed_pseudogene,315
U1_DE,unitary_pseudogene,10
U1_DE,unprocessed_pseudogene,296
U2_effect_supported_DE,3prime_overlapping_ncRNA,12
U2_effect_supported_DE,IG_C_gene,13
U2_effect_supported_DE,IG_C_pseudogene,5
U2_effect_supported_DE,IG_D_gene,7
U2_effect_supported_DE,IG_J_gene,16
U2_effect_supported_DE,IG_J_pseudogene,1
U2_effect_supported_DE,IG_V_gene,140
U2_effect_supported_DE,IG_V_pseudogene,101
U2_effect_supported_DE,IG_pseudogene,1
U2_effect_supported_DE,Mt_rRNA,0
U2_effect_supported_DE,Mt_tRNA,10
U2_effect_supported_DE,TEC,215
U2_effect_supported_DE,TR_C_gene,3
U2_effect_supported_DE,TR_J_gene,1
U2_effect_supported_DE,TR_V_gene,7
U2_effect_supported_DE,TR_V_pseudogene,1
U2_effect_supported_DE,antisense,1570
U2_effect_supported_DE,bidirectional_promoter_lncRNA,4
U2_effect_supported_DE,lincRNA,1372
U2_effect_supported_DE,macro_lncRNA,0
U2_effect_supported_DE,miRNA,89
U2_effect_supported_DE,misc_RNA,50
U2_effect_supported_DE,non_coding,1
U2_effect_supported_DE,polymorphic_pseudogene,8
U2_effect_supported_DE,processed_pseudogene,1031
U2_effect_supported_DE,processed_transcript,198
U2_effect_supported_DE,protein_coding,8321
U2_effect_supported_DE,pseudogene,0
U2_effect_supported_DE,rRNA,6
U2_effect_supported_DE,ribozyme,0
U2_effect_supported_DE,sRNA,0
U2_effect_supported_DE,scRNA,0
U2_effect_supported_DE,scaRNA,2
U2_effect_supported_DE,sense_intronic,147
U2_effect_supported_DE,sense_overlapping,72
U2_effect_supported_DE,snRNA,7
U2_effect_supported_DE,snoRNA,74
U2_effect_supported_DE,transcribed_processed_pseudogene,96
U2_effect_supported_DE,transcribed_unitary_pseudogene,32
U2_effect_supported_DE,transcribed_unprocessed_pseudogene,224
U2_effect_supported_DE,unitary_pseudogene,8
U2_effect_supported_DE,unprocessed_pseudogene,219
