"category","group_or_metric","statistic","value","n"
"distribution","All","min",0.303717881322881,574
"distribution","All","Q1",0.736268846500444,574
"distribution","All","median",0.974694249642217,574
"distribution","All","mean",1.13632360944751,574
"distribution","All","Q3",1.31387443621628,574
"distribution","All","max",4.52674515006258,574
"distribution","Tumor","min",0.303717881322881,515
"distribution","Tumor","Q1",0.706863145528772,515
"distribution","Tumor","median",0.938462155363827,515
"distribution","Tumor","mean",0.972169183633443,515
"distribution","Tumor","Q3",1.22097261162134,515
"distribution","Tumor","max",2.20665811274071,515
"distribution","Normal","min",0.706075415485348,59
"distribution","Normal","Q1",2.05584527881968,59
"distribution","Normal","median",2.54265762020702,59
"distribution","Normal","mean",2.56919698731605,59
"distribution","Normal","Q3",3.25471567146112,59
"distribution","Normal","max",4.52674515006258,59
"association","RLE_IQR_logCPM","Pearson",-0.483585400116334,574
"association","RLE_IQR_logCPM","Spearman",-0.738700736283809,574
"association","effective_library_size","Pearson",-0.229146495306265,574
"association","effective_library_size","Spearman",-0.194276481986309,574
