"model","criterion","Up","Down","Total","direction_definition"
"S0","BH FDR < 0.05",10841,10391,21232,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S0","BH FDR < 0.01",9539,9391,18930,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S0","BH FDR < 0.05 and |logFC| >= 0.5",6831,7233,14064,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S0","BH FDR < 0.05 and |logFC| >= 1",3223,4117,7340,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S0","BH FDR < 0.05 and |logFC| >= 2",1056,1486,2542,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S1","BH FDR < 0.05",10542,10155,20697,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S1","BH FDR < 0.01",9211,9096,18307,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S1","BH FDR < 0.05 and |logFC| >= 0.5",6850,7267,14117,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S1","BH FDR < 0.05 and |logFC| >= 1",3279,4199,7478,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S1","BH FDR < 0.05 and |logFC| >= 2",1084,1531,2615,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S6","BH FDR < 0.05",11898,9409,21307,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S6","BH FDR < 0.01",10455,8321,18776,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S6","BH FDR < 0.05 and |logFC| >= 0.5",7544,6339,13883,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S6","BH FDR < 0.05 and |logFC| >= 1",3724,3425,7149,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S6","BH FDR < 0.05 and |logFC| >= 2",1411,1162,2573,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S2","BH FDR < 0.05",11007,10349,21356,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S2","BH FDR < 0.01",9627,9393,19020,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S2","BH FDR < 0.05 and |logFC| >= 0.5",6862,7070,13932,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S2","BH FDR < 0.05 and |logFC| >= 1",3219,4040,7259,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S2","BH FDR < 0.05 and |logFC| >= 2",930,1446,2376,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S3","BH FDR < 0.05",10744,10210,20954,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S3","BH FDR < 0.01",9380,9208,18588,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S3","BH FDR < 0.05 and |logFC| >= 0.5",6782,7011,13793,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S3","BH FDR < 0.05 and |logFC| >= 1",3235,3952,7187,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S3","BH FDR < 0.05 and |logFC| >= 2",1047,1406,2453,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S4","BH FDR < 0.05",10643,10212,20855,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S4","BH FDR < 0.01",9323,9151,18474,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S4","BH FDR < 0.05 and |logFC| >= 0.5",6786,7166,13952,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S4","BH FDR < 0.05 and |logFC| >= 1",3202,4019,7221,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S4","BH FDR < 0.05 and |logFC| >= 2",1115,1466,2581,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S5","BH FDR < 0.05",11667,11298,22965,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S5","BH FDR < 0.01",10625,10468,21093,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S5","BH FDR < 0.05 and |logFC| >= 0.5",6824,7297,14121,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S5","BH FDR < 0.05 and |logFC| >= 1",3234,3999,7233,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
"S5","BH FDR < 0.05 and |logFC| >= 2",1132,1420,2552,"Up: logFC > 0 (higher in Tumor); Down: logFC < 0 (lower in Tumor)"
