"model","EnsemblID","Symbol","gene_type","logFC_primary","logFC_sensitivity","delta_logFC","abs_delta_logFC","FDR_primary","FDR_sensitivity","P_primary","P_sensitivity"
"S1","ENSG00000185686.17","PRAME","protein_coding",5.07640452489665,5.46752306539855,0.3911185405019,0.3911185405019,3.5166929802476e-09,1.01193743968774e-08,1.04267820646536e-09,2.81815314133129e-09
"S1","ENSG00000111700.12","SLCO1B3","protein_coding",3.22767937419298,3.54796133331554,0.32028195912256,0.32028195912256,1.086186103888e-05,1.45007194461712e-05,4.70193917024544e-06,5.94115135047142e-06
"S1","ENSG00000171564.11","FGB","protein_coding",3.31593055151272,3.63422995096331,0.31829939945059,0.31829939945059,0.000453503862743484,0.000489344699073454,0.000239266714046248,0.00024513514936021
"S1","ENSG00000176887.6","SOX11","protein_coding",2.88188831146421,2.56441197126774,-0.31747634019647,0.31747634019647,1.55062624171476e-08,2.83825739304141e-06,4.91857428762523e-09,1.06355561434849e-06
"S1","ENSG00000275896.5","PRSS2","protein_coding",3.44152931160923,3.13184999921248,-0.30967931239675,0.30967931239675,1.69713892888641e-07,1.00998375961062e-05,6.020755985305e-08,4.06470191709808e-06
"S1","ENSG00000257046.5","RP11-545J16.1","protein_coding",3.23884603271584,3.54470565106212,0.30585961834628,0.30585961834628,3.7708740313267e-06,5.45696796200512e-06,1.54880187194936e-06,2.11875453365024e-06
"S1","ENSG00000180818.4","HOXC10","protein_coding",3.30210790636949,3.60520193545636,0.30309402908687,0.30309402908687,4.28813637410217e-05,5.19892000875716e-05,1.98633730441252e-05,2.28530517442294e-05
"S1","ENSG00000219159.4","AC011298.2","lincRNA",1.93057560102467,2.21970437668226,0.28912877565759,0.28912877565759,0.000105047100134151,4.22932347924962e-05,5.09730000853614e-05,1.8419542302724e-05
"S1","ENSG00000143512.12","HHIPL2","protein_coding",4.06010517989118,3.77977226473678,-0.2803329151544,0.2803329151544,2.25084763666455e-12,9.8506329389482e-10,4.87103317169146e-13,2.45417376740127e-10
"S1","ENSG00000231683.6","RP1-27K12.2","lincRNA",2.26909901601937,2.5480302387053,0.27893122268593,0.27893122268593,0.0027067032388097,0.00244235459203075,0.00159087154828506,0.00136273915779761
"S1","ENSG00000249628.2","LINC00942","lincRNA",2.85798469363333,3.13068026435419,0.27269557072086,0.27269557072086,1.09810722194737e-07,1.5563045033554e-07,3.81032746438739e-08,4.99230692034259e-08
"S1","ENSG00000164093.15","PITX2","protein_coding",5.36909134042004,5.63026710143827,0.26117576101823,0.26117576101823,5.0015493099182e-13,5.0664717825932e-12,1.02358938285464e-13,9.92382282890561e-13
"S1","ENSG00000223784.1","LINP1","lincRNA",2.66820807105011,2.40923068137302,-0.25897738967709,0.25897738967709,4.80477651658966e-06,0.000131752901229922,1.99568792895031e-06,6.10568737713481e-05
"S1","ENSG00000172461.10","FUT9","protein_coding",4.17080112959641,3.91680345736888,-0.25399767222753,0.25399767222753,2.19527810071308e-11,5.687669171765e-09,5.2127288549662e-12,1.53881747165567e-09
