"model","EnsemblID","Symbol","gene_type","df.residual","nominal_residual_df","df_loss"
"S1","ENSG00000120054.11","CPN1","protein_coding",487,553,66
"S1","ENSG00000257062.6","RP11-125O5.2","protein_coding",495,553,58
"S1","ENSG00000257703.5","RP11-328J6.1","lincRNA",545,553,8
"S1","ENSG00000276122.1","RP11-143E21.3","lincRNA",545,553,8
"S1","ENSG00000229609.1","LINC01079","lincRNA",545,553,8
"S1","ENSG00000247381.2","PLUT","antisense",495,553,58
"S1","ENSG00000234854.1","LINC00676","antisense",540,553,13
"S1","ENSG00000258932.5","CTD-3006G17.2","transcribed_processed_pseudogene",540,553,13
"S1","ENSG00000267073.1","AC005256.1","lincRNA",495,553,58
"S1","ENSG00000105205.6","CLC","protein_coding",545,553,8
"S1","ENSG00000109132.6","PHOX2B","protein_coding",540,553,13
"S1","ENSG00000170516.16","COX7B2","protein_coding",532,553,21
"S1","ENSG00000246876.6","RP11-519M16.1","lincRNA",485,553,68
"S1","ENSG00000250590.5","RP11-565A3.2","lincRNA",495,553,58
"S1","ENSG00000250060.1","RP11-332J15.2","lincRNA",532,553,21
"S1","ENSG00000248783.1","RP11-308B16.2","lincRNA",540,553,13
"S1","ENSG00000253363.5","RP11-962G15.1","lincRNA",538,553,15
"S1","ENSG00000215262.7","KCNU1","protein_coding",540,553,13
"S1","ENSG00000176566.4","DCAF4L2","protein_coding",519,553,34
"S1","ENSG00000236687.1","RP11-323H21.3","lincRNA",540,553,13
"S1","ENSG00000068985.4","PAGE1","protein_coding",545,553,8
"S1","ENSG00000281566.2","RP11-485F13.1","lincRNA",532,553,21
"S6","ENSG00000223972.5","DDX11L1","transcribed_unprocessed_pseudogene",56,57,1
"S6","ENSG00000278267.1","MIR6859-1","miRNA",56,57,1
"S6","ENSG00000279928.2","ABC7-43046700E7.1","unprocessed_pseudogene",50,57,7
"S6","ENSG00000273874.1","MIR6859-2","miRNA",56,57,1
"S6","ENSG00000283040.1","FAM166AP3","transcribed_unprocessed_pseudogene",47,57,10
"S6","ENSG00000230699.2","RP11-54O7.1","lincRNA",55,57,2
"S6","ENSG00000223823.1","LINC01342","lincRNA",50,57,7
"S6","ENSG00000198976.1","MIR429","miRNA",48,57,9
"S6","ENSG00000230415.1","LINC01786","lincRNA",56,57,1
"S6","ENSG00000205116.3","TMEM88B","protein_coding",46,57,11
"S6","ENSG00000169885.9","CALML6","protein_coding",55,57,2
"S6","ENSG00000233542.1","RP11-547D24.1","antisense",55,57,2
"S6","ENSG00000272235.1","RP11-22L13.1","lincRNA",55,57,2
"S6","ENSG00000272088.1","RP11-168F9.2","lincRNA",54,57,3
"S6","ENSG00000238260.1","RP11-46F15.2","antisense",56,57,1
"S6","ENSG00000227589.1","RP5-1092A11.5","antisense",53,57,4
"S6","ENSG00000237436.1","RP11-312B8.1","antisense",56,57,1
"S6","ENSG00000270035.1","RP11-338N10.2","lincRNA",53,57,4
"S6","ENSG00000227634.2","LINC01714","lincRNA",56,57,1
"S6","ENSG00000131686.14","CA6","protein_coding",47,57,10
"S6","ENSG00000157330.9","C1orf158","protein_coding",56,57,1
"S6","ENSG00000162460.6","TMEM82","protein_coding",50,57,7
"S6","ENSG00000233078.1","RP11-5P18.5","antisense",40,57,17
"S6","ENSG00000183888.4","C1orf64","protein_coding",49,57,8
"S6","ENSG00000232456.1","RP11-5P18.10","unprocessed_pseudogene",46,57,11
"S6","ENSG00000185519.8","FAM131C","protein_coding",55,57,2
"S6","ENSG00000282143.1","RP1-163M9.8","lincRNA",55,57,2
"S6","ENSG00000280114.1","RP5-875O13.7","unprocessed_pseudogene",53,57,4
"S6","ENSG00000204362.6","RP11-380J14.1","lincRNA",44,57,13
"S6","ENSG00000142623.9","PADI1","protein_coding",55,57,2
"S6","ENSG00000142619.4","PADI3","protein_coding",47,57,10
"S6","ENSG00000117148.7","ACTL8","protein_coding",30,57,27
"S6","ENSG00000280222.1","RP11-174G17.3","TEC",54,57,3
"S6","ENSG00000009709.11","PAX7","protein_coding",41,57,16
"S6","ENSG00000178828.6","RNF186","protein_coding",56,57,1
"S6","ENSG00000235434.1","RP11-91K11.2","antisense",44,57,13
"S6","ENSG00000158786.4","PLA2G2F","protein_coding",47,57,10
"S6","ENSG00000187980.6","PLA2G2C","protein_coding",56,57,1
"S6","ENSG00000283234.1","RP11-26H16.4","transcribed_unitary_pseudogene",51,57,6
"S6","ENSG00000271840.1","RP1-224A6.9","lincRNA",55,57,2
"S6","ENSG00000070886.11","EPHA8","protein_coding",42,57,15
"S6","ENSG00000235052.1","RP1-150O5.3","lincRNA",55,57,2
"S6","ENSG00000187010.19","RHD","protein_coding",56,57,1
"S6","ENSG00000225886.3","RP11-288L9.4","antisense",56,57,1
