"EnsemblID","Symbol","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000248551.1","RP11-287F9.2","lincRNA",-4.5477610425319,-5.5304691547512,-41.8884664129635,5.113599049475e-177,1.51393213458757e-172,392.72282293457
"ENSG00000108576.9","SLC6A4","protein_coding",-7.79859927325011,-0.376985723630431,-40.17186472487,3.26741960495981e-169,4.83676124122201e-165,376.515772107392
"ENSG00000224215.1","RP11-371A19.2","antisense",-5.63186369815553,-3.63360134111278,-39.9459464098647,3.57601498547023e-168,3.52904998866105e-164,373.470480750501
"ENSG00000180440.3","SERTM1","protein_coding",-7.32015438501944,-2.9068925834938,-38.0982310166555,1.4330081159811e-159,1.06064095704341e-155,354.163600686797
"ENSG00000244215.1","LINC02016","lincRNA",-5.73529796367212,-4.59656717118,-37.8839650973907,1.46464679794458e-158,8.67246661998944e-155,351.275279811989
"ENSG00000237167.1","AC128709.2","lincRNA",-4.53343969733914,-5.24347543741152,-36.6967618284164,6.35696523922489e-153,3.13673854787487e-149,338.030141473939
"ENSG00000198358.4","RP11-544M22.1","antisense",-6.56476486643871,-3.53418814122059,-36.6728006026631,8.27553970824108e-153,3.50008040860265e-149,338.483194213257
"ENSG00000158764.6","ITLN2","protein_coding",-7.39936767008968,-1.66862881044509,-35.6830909569034,4.73355729532074e-148,1.75177121606582e-144,327.879003284676
"ENSG00000261863.1","LINC01996","lincRNA",-5.93416347059545,-3.70337337102405,-35.5952989590731,1.25785827682648e-147,4.13779468263608e-144,326.520099203615
"ENSG00000170323.8","FABP4","protein_coding",-6.15937739621841,1.20596964964561,-35.0986923029658,3.22067597212003e-145,9.53513328305856e-142,321.405496720946
"ENSG00000266120.1","RP11-354P11.2","antisense",-4.20276768455016,-5.2914641253189,-34.2461902791023,4.68916406866797e-141,1.26206719469985e-137,310.907149926588
"ENSG00000182010.10","RTKN2","protein_coding",-4.60233488620397,3.62980073139095,-33.7550156629072,1.21893830343933e-138,3.00732395096872e-135,306.28879550421
"ENSG00000183090.5","FREM3","protein_coding",-5.29740675134248,-3.72623782460576,-33.2573583987361,3.50421241761185e-136,7.98043944890895e-133,300.270171532371
"ENSG00000150625.16","GPM6A","protein_coding",-5.96171064998898,0.174390794242527,-33.2198327612434,5.37597848598394e-136,1.07462842461119e-132,300.207751328647
"ENSG00000186994.11","KANK3","protein_coding",-2.88093486733682,2.37203032923298,-33.218720054619,5.4446485067783e-136,1.07462842461119e-132,300.19624422234
"ENSG00000234281.5","LANCL1-AS1","antisense",-4.8263977784309,-2.08345941483835,-32.9306040517667,1.46299607611817e-134,2.70709136434716e-131,296.743643500858
"ENSG00000171819.4","ANGPTL7","protein_coding",-5.18009801373021,-3.54128723634299,-32.7317698341455,1.42515521857026e-133,2.48194972947007e-130,294.317039502582
"ENSG00000161649.12","CD300LG","protein_coding",-6.39243085952275,-2.23802626813008,-32.3782362019411,8.24392909253304e-132,1.35594313729741e-128,290.518908783946
"ENSG00000135604.9","STX11","protein_coding",-3.24702990428123,2.55259629522243,-32.363556472354,9.75958776455025e-132,1.5207492387225e-128,290.421527947276
"ENSG00000120903.12","CHRNA2","protein_coding",-4.59891116386972,-4.62315637136634,-31.6029316974946,6.31527452673177e-128,8.99639264959346e-125,281.169484472813
"ENSG00000120156.20","TEK","protein_coding",-3.47816777276858,3.1379442644782,-31.6020333920699,6.38128236308392e-128,8.99639264959346e-125,281.647480883315
"ENSG00000140505.6","CYP1A2","protein_coding",-5.07820632238054,-4.73701953791641,-31.5561592896191,1.08532647379014e-127,1.46055343559231e-124,280.661073529872
"ENSG00000275612.1","RP11-35J10.6","sense_intronic",-3.78736022695295,-5.37202988164467,-31.5131153700665,1.78675422863874e-127,2.29994111709037e-124,279.833768082752
"ENSG00000034971.16","MYOC","protein_coding",-5.49266469041165,-3.34318954342746,-31.4977404066283,2.13509773575856e-127,2.6338209818695e-124,280.227268663033
"ENSG00000276668.1","RP11-35J10.7","sense_intronic",-3.85569693682979,-5.13362212589707,-31.4638678180287,3.16132853380638e-127,3.74377170287487e-124,279.364239005296
"ENSG00000178084.1","HTR3C","protein_coding",-5.27013214644267,-4.42699771817659,-31.3971976808654,6.84709209806537e-127,7.79673110212782e-124,278.902324829941
"ENSG00000140600.16","SH3GL3","protein_coding",-5.82280915555715,-3.02951291298097,-31.1738768105925,9.14395212312723e-126,1.00265128354557e-122,276.546937753551
"ENSG00000163815.5","CLEC3B","protein_coding",-3.97033640128164,3.6763048148074,-31.1004056414943,2.14740775290231e-125,2.27057692615806e-122,275.837889421722
"ENSG00000225683.5","PACRG-AS3","antisense",-4.1974439044798,-5.38884454630149,-31.0788015717283,2.76047945420177e-125,2.81816395589992e-122,274.919856254537
"ENSG00000263155.5","MYZAP","protein_coding",-3.69573769992632,2.23763569547,-31.0605816799138,3.4118051445968e-125,3.36699677036443e-122,275.381209548193
"ENSG00000168309.16","FAM107A","protein_coding",-4.92335057900782,2.9220847896925,-30.8369934906849,4.60345049211322e-124,4.3964437183711e-121,272.780515141669
"ENSG00000271758.2","RP11-35J10.5","lincRNA",-4.00450110398188,-5.07759104062239,-30.8014619189216,6.96403994054625e-124,6.44304270249414e-121,271.772632034001
