"model","top_n","intersection","union","jaccard","ranking"
"S1",100,97,103,0.941747572815534,"topTable sort.by=P"
"S1",500,488,512,0.953125,"topTable sort.by=P"
"S2",100,77,123,0.626016260162602,"topTable sort.by=P"
"S2",500,431,569,0.757469244288225,"topTable sort.by=P"
"S3",100,88,112,0.785714285714286,"topTable sort.by=P"
"S3",500,459,541,0.848428835489834,"topTable sort.by=P"
"S4",100,90,110,0.818181818181818,"topTable sort.by=P"
"S4",500,444,556,0.798561151079137,"topTable sort.by=P"
"S5",100,86,114,0.754385964912281,"topTable sort.by=P"
"S5",500,446,554,0.805054151624549,"topTable sort.by=P"
"S6",100,54,146,0.36986301369863,"topTable sort.by=P"
"S6",500,322,678,0.474926253687316,"topTable sort.by=P"
