"metric","value","detail"
"observations","574","Frozen biological observations"
"Tumor_observations","515",""
"Normal_observations","59",""
"unique_cases","516",""
"matched_cases","58",""
"batch_number_source","tcga.cgc_case_batch_number","TCGA/BCR case-batch structure; not a proven RNA-seq sequencing batch"
"case_batch_levels","20",""
"case_batch_levels_with_both_groups","7",""
"design_rows","574",""
"design_columns","21",""
"design_coefficients","Normal;Tumor;batch_number144;batch_number160;batch_number166;batch_number183;batch_number196;batch_number204;batch_number213;batch_number222;batch_number232;batch_number238;batch_number258;batch_number264;batch_number278;batch_number37;batch_number406;batch_number423;batch_number52;batch_number58;batch_number84",""
"design_rank","21",""
"design_full_rank","TRUE",""
"nominal_fixed_effect_residual_df","553",""
"contrast_definition","Tumor_vs_Normal = Tumor - Normal","Positive logFC means higher expression in Tumor"
"contrast_vector","Normal=-1;Tumor=1;batch_number144=0;batch_number160=0;batch_number166=0;batch_number183=0;batch_number196=0;batch_number204=0;batch_number213=0;batch_number222=0;batch_number232=0;batch_number238=0;batch_number258=0;batch_number264=0;batch_number278=0;batch_number37=0;batch_number406=0;batch_number423=0;batch_number52=0;batch_number58=0;batch_number84=0",""
"blocking_variable","case_id",""
"case_id_in_fixed_effect_design","FALSE",""
"sample.weights","FALSE",""
"normalize.method_in_voomLmFit","none",""
"consensus_intra_case_correlation","0.2432825",""
"tested_genes","29606",""
"frozen_filter_genes","29606",""
"filter_mask_exact_match","TRUE",""
"TMM_absolute_tolerance","1e-12",""
"TMM_maximum_absolute_difference","5.10702591327572e-15",""
"residual_df_min","485",""
"residual_df_Q1","553",""
"residual_df_median","553",""
"residual_df_mean","552.979868945484",""
"residual_df_Q3","553",""
"residual_df_max","553",""
"genes_residual_df_below_nominal_maximum","22",""
"voom_messages","First intra-block correlation  0.2432258 | Final intra-block correlation  0.2432825","Messages emitted by the single primary voomLmFit call"
"sensitivity_analyses_fitted","0",""
