"EnsemblID","Symbol","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B","mean_logCPM_Tumor","mean_logCPM_Normal"
"ENSG00000248551.1","RP11-287F9.2","lincRNA",-4.40540957433006,-5.5304691547512,-31.956167555534,4.51516234613527e-128,1.33675896419681e-123,280.123154252056,-4.50618113042714,-1.32068255123567
"ENSG00000108576.9","SLC6A4","protein_coding",-8.03892661396647,-0.376985723630431,-30.4273771063332,1.59147854012348e-120,2.35586568294479e-116,264.595026196115,-1.01145154823125,6.62628339895313
"ENSG00000186994.11","KANK3","protein_coding",-3.0354138601341,2.37203032923298,-29.8895895268736,7.58593239114551e-118,7.48630381240846e-114,258.495585860441,2.08890140550675,4.93043556500215
"ENSG00000224215.1","RP11-371A19.2","antisense",-5.54901404902322,-3.63360134111278,-29.7795607130429,2.68762815672219e-117,1.98924798019793e-113,256.531214901684,-3.48211458617195,1.45440933086031
"ENSG00000244215.1","LINC02016","lincRNA",-5.7632558388681,-4.59656717118,-28.6568624058485,1.15007312925659e-111,6.80981301295413e-108,243.415979431324,-4.01935535774798,0.545638766724062
"ENSG00000182010.10","RTKN2","protein_coding",-4.61631454046385,3.62980073139095,-28.3790929644853,2.88974916601015e-110,1.42589856348161e-106,241.103207186556,3.16344487134583,7.74948958722288
"ENSG00000237167.1","AC128709.2","lincRNA",-4.40385345271415,-5.24347543741152,-28.0801066797875,9.34910421353113e-109,3.95413684779718e-105,236.474034251491,-4.36504082067592,-1.06399309856157
"ENSG00000180440.3","SERTM1","protein_coding",-7.27744991875895,-2.9068925834938,-27.4523832506096,1.41192951865661e-105,5.22519816616846e-102,230.077091425272,-2.91192804221294,3.70046718118183
"ENSG00000198358.4","RP11-544M22.1","antisense",-6.65727329545503,-3.53418814122059,-26.8953561474677,9.55353732653766e-103,3.14268917877193e-99,223.409828292636,-3.33679592718328,2.32624464977842
"ENSG00000170323.8","FABP4","protein_coding",-6.15993807888664,1.20596964964561,-26.8049835046323,2.75501142659386e-102,8.15648682957377e-99,222.773712931494,0.635168891290697,6.76312713130658
"ENSG00000266120.1","RP11-354P11.2","antisense",-4.16500164669135,-5.2914641253189,-26.6629409850695,1.45701711080221e-101,3.92149532567364e-98,220.060147603845,-4.37854148304623,-1.43340012311336
"ENSG00000261863.1","LINC01996","lincRNA",-6.01706649451424,-3.70337337102405,-26.4541976595416,1.68786790710793e-100,4.16425143815311e-97,218.215494532677,-3.45773120727465,1.64685720072888
"ENSG00000163815.5","CLEC3B","protein_coding",-4.0195512038614,3.6763048148074,-26.3612238597216,5.02925400911989e-100,1.1453545707231e-96,217.578556451151,3.2742640764123,7.22939456963212
"ENSG00000158764.6","ITLN2","protein_coding",-7.59235078438189,-1.66862881044509,-25.9623480822765,5.46821602037587e-98,1.15637145356606e-94,212.851994668612,-1.93989068005011,4.92499707751999
"ENSG00000135604.9","STX11","protein_coding",-3.15029533096086,2.55259629522243,-25.9262478112194,8.3618533767675e-98,1.65040687381719e-94,212.485523764885,2.22553060345898,5.49622082823657
"ENSG00000165312.6","OTUD1","protein_coding",-2.06716088624723,4.03740270236629,-25.8858821777421,1.34456865084299e-97,2.4879562173036e-94,211.996052385177,3.8203925506979,5.9561109147846
"ENSG00000235387.2","SPAAR","protein_coding",-2.82491605790761,-0.393071690546847,-25.8662254257298,1.6945170891613e-97,2.95105134951232e-94,211.696730056616,-0.614420320605567,2.11264106293926
"ENSG00000234281.5","LANCL1-AS1","antisense",-4.88225650213414,-2.08345941483835,-25.7993315717344,3.72378803758481e-97,6.12480381337421e-94,210.816064480796,-2.28407418389598,2.28408227019998
"ENSG00000105227.14","PRX","protein_coding",-3.72358048525632,3.32714699787983,-25.7375693237546,7.70486813085578e-97,1.20058066253745e-93,210.263558819462,2.97152853113655,6.4851147092206
"ENSG00000034971.16","MYOC","protein_coding",-5.64602077514507,-3.34318954342746,-25.6390986145019,2.45679724781246e-96,3.63679696593678e-93,208.837951145169,-3.22163940615496,1.59776826055048
"ENSG00000120156.20","TEK","protein_coding",-3.34635655938304,3.1379442644782,-25.5350071815131,8.37334941707716e-96,1.18048277543803e-92,207.882339821222,2.78143634296931,6.31020281660063
"ENSG00000132622.10","HSPA12B","protein_coding",-2.89481640922701,2.31847570351997,-25.4213296887497,3.19649031273447e-95,4.30160419085531e-92,206.559121652061,2.03321548781266,4.90367774776733
"ENSG00000131477.10","RAMP2","protein_coding",-2.92203466325557,3.51405673827591,-25.1390889114437,8.91168876363872e-94,1.14712807624473e-90,203.223195133465,3.21225982902606,6.19009157386486
"ENSG00000150625.16","GPM6A","protein_coding",-5.6262562698153,0.174390794242527,-25.1329791056007,9.57765794584995e-94,1.18148392143681e-90,203.169821905356,-0.307779752619729,5.62329640789843
"ENSG00000183090.5","FREM3","protein_coding",-5.31076930739389,-3.72623782460576,-25.1278207746163,1.01785241232426e-93,1.20538154077088e-90,202.717754913337,-3.50071793948017,1.05549288914502
"ENSG00000072163.19","LIMS2","protein_coding",-3.04781113397002,3.82445076965287,-25.0948436025565,1.50186584557917e-93,1.7101630855468e-90,202.701331665204,3.52121218086057,6.50555119225173
"ENSG00000130307.11","USHBP1","protein_coding",-2.70037547787767,1.15102121532191,-25.0682703955783,2.05484727299732e-93,2.25317808756884e-90,202.391595144727,0.918883309477825,3.37342567859252
"ENSG00000171819.4","ANGPTL7","protein_coding",-5.22790812827726,-3.54128723634299,-25.0236323087924,3.47939936971573e-93,3.67896777642157e-90,201.534745129943,-3.37251659641511,1.15054476266478
"ENSG00000168309.16","FAM107A","protein_coding",-4.87003371510161,2.9220847896925,-24.8542728086576,2.56756913175783e-92,2.62122247292491e-89,199.880400120159,2.41944863618055,7.41191503801685
"ENSG00000120903.12","CHRNA2","protein_coding",-4.66059502452441,-4.62315637136634,-24.8277321644723,3.51221613899471e-92,3.46608903370258e-89,198.991241579544,-4.00409310254853,-0.443141402984363
