EnsemblID,EnsemblID_base,universe_ordinal,universe_id,target_mapping_outcome,target_record_count,exact_disease_record_count,assessment_attempted,source_release_complete,mapping_rule_version,disease_context_id,query_scope_version,provenance_complete
ENSG00000248551.1,ENSG00000248551,1,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,0,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000108576.9,ENSG00000108576,2,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,9,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000186994.11,ENSG00000186994,3,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,5,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000224215.1,ENSG00000224215,4,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,0,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000244215.1,ENSG00000244215,5,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,0,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000182010.10,ENSG00000182010,6,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,5,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000237167.1,ENSG00000237167,7,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,0,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000180440.3,ENSG00000180440,8,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,3,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000198358.4,ENSG00000198358,9,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,0,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000170323.8,ENSG00000170323,10,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,15,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000266120.1,ENSG00000266120,11,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,0,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000261863.1,ENSG00000261863,12,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,0,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000163815.5,ENSG00000163815,13,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,8,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000158764.6,ENSG00000158764,14,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,3,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000135604.9,ENSG00000135604,15,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,4,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000165312.6,ENSG00000165312,16,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,7,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000235387.2,ENSG00000235387,17,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,0,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000234281.5,ENSG00000234281,18,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,0,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000105227.14,ENSG00000105227,19,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,1,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
ENSG00000034971.16,ENSG00000034971,20,UNIV_TASK030_ENSEMBL_29606_V0_1,MAPPED,1,4,TRUE,TRUE,DA_OT_ENSEMBL_BASE_MAPPING_V0.1,MONDO_0005061,DA_QUERY_SCOPE_V0.1,TRUE
