category_group,category,count,denominator,percent
discovery_status,MISSING,6683,29606,22.573127
discovery_status,NOT_APPLICABLE,0,29606,0.000000
discovery_status,OBSERVED,4871,29606,16.452746
discovery_status,PARTIAL,18052,29606,60.974127
discovery_status,UNKNOWN,0,29606,0.000000
mechanistic_status,MISSING,29606,29606,100.000000
mechanistic_status,NOT_APPLICABLE,0,29606,0.000000
mechanistic_status,OBSERVED,0,29606,0.000000
mechanistic_status,PARTIAL,0,29606,0.000000
mechanistic_status,UNKNOWN,0,29606,0.000000
development_status,MISSING,12664,29606,42.775113
development_status,NOT_APPLICABLE,0,29606,0.000000
development_status,OBSERVED,0,29606,0.000000
development_status,PARTIAL,16942,29606,57.224887
development_status,UNKNOWN,0,29606,0.000000
risk_status,MISSING,28708,29606,96.966831
risk_status,NOT_APPLICABLE,0,29606,0.000000
risk_status,OBSERVED,0,29606,0.000000
risk_status,PARTIAL,898,29606,3.033169
risk_status,UNKNOWN,0,29606,0.000000
evidence_maturity_status,MISSING,3936,29606,13.294602
evidence_maturity_status,NOT_APPLICABLE,0,29606,0.000000
evidence_maturity_status,OBSERVED,0,29606,0.000000
evidence_maturity_status,PARTIAL,25670,29606,86.705398
evidence_maturity_status,UNKNOWN,0,29606,0.000000
MISSING_EVIDENCE_DOMAIN,CLINICAL_DEVELOPMENT,29606,29606,100.000000
MISSING_EVIDENCE_DOMAIN,ESSENTIALITY,29606,29606,100.000000
MISSING_EVIDENCE_DOMAIN,FUNCTIONAL_DEPENDENCY,29606,29606,100.000000
MISSING_EVIDENCE_DOMAIN,GENETIC_EVIDENCE,29606,29606,100.000000
MISSING_EVIDENCE_DOMAIN,LUAD_DISEASE_ASSOCIATION,21200,29606,71.607107
MISSING_EVIDENCE_DOMAIN,NORMAL_TISSUE_CONTEXT,29606,29606,100.000000
MISSING_EVIDENCE_DOMAIN,PERTURBATIONAL_EVIDENCE,29606,29606,100.000000
MISSING_EVIDENCE_DOMAIN,PHARMACOLOGY,23637,29606,79.838546
MISSING_EVIDENCE_DOMAIN,SAFETY_LIABILITY,28708,29606,96.966831
MISSING_EVIDENCE_DOMAIN,TOXICITY_EVIDENCE,29606,29606,100.000000
MISSING_EVIDENCE_DOMAIN,TRACTABILITY,12712,29606,42.937242
KNOWN_UNCERTAINTY,CONFLICTING_RECORDS,3435,29606,11.602378
KNOWN_UNCERTAINTY,DEPENDENCY_UNCERTAIN,28893,29606,97.591704
KNOWN_UNCERTAINTY,INCOMPLETE_COVERAGE,29606,29606,100.000000
KNOWN_UNCERTAINTY,SOURCE_LIMITATION,26253,29606,88.674593
KNOWN_UNCERTAINTY,TEMPORAL_UNCERTAINTY,8406,29606,28.392893
FUTURE_EVIDENCE_TYPE,CANCER_GENETIC_EVIDENCE,29606,29606,100.000000
FUTURE_EVIDENCE_TYPE,COMPOUND_ACTIVITY_POTENCY_MECHANISM,23637,29606,79.838546
FUTURE_EVIDENCE_TYPE,CRISPR_FUNCTIONAL_DEPENDENCY,29606,29606,100.000000
FUTURE_EVIDENCE_TYPE,ESSENTIALITY_GENETIC_CONSTRAINT,29606,29606,100.000000
FUTURE_EVIDENCE_TYPE,INDEPENDENT_LUAD_COHORT_REPLICATION,3435,29606,11.602378
FUTURE_EVIDENCE_TYPE,LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL,21200,29606,71.607107
FUTURE_EVIDENCE_TYPE,MODALITY_SPECIFIC_TRACTABILITY,12712,29606,42.937242
FUTURE_EVIDENCE_TYPE,NORMAL_TISSUE_EXPRESSION,29606,29606,100.000000
FUTURE_EVIDENCE_TYPE,PERTURBATIONAL_MECHANISM,29606,29606,100.000000
FUTURE_EVIDENCE_TYPE,TARGET_SAFETY_LIABILITY,28708,29606,96.966831
FUTURE_EVIDENCE_TYPE,TOXICITY_EVIDENCE,29606,29606,100.000000
FUTURE_EVIDENCE_TYPE,TRIAL_LEVEL_CLINICAL_DEVELOPMENT,29606,29606,100.000000
