scope,source,metric,count,denominator,percent
ALL_TESTED,REGISTRY,ROWS_PRESERVED,29606,29606,100.000000
ALL_TESTED,OPEN_TARGETS,IDENTIFIER_MAPPED,28893,29606,97.591704
ALL_TESTED,OPEN_TARGETS,TARGET_PRESENT,28893,29606,97.591704
ALL_TESTED,OPEN_TARGETS,TARGET_NOT_FOUND_IN_API,0,29606,0.000000
ALL_TESTED,OPEN_TARGETS,LUAD_DIRECT_ASSOCIATION_PRESENT,8393,29606,28.348983
ALL_TESTED,OPEN_TARGETS,LUAD_INDIRECT_ASSOCIATION_PRESENT,8406,29606,28.392893
ALL_TESTED,OPEN_TARGETS,LITERATURE_COUNT_NONZERO,21681,29606,73.231777
ALL_TESTED,OPEN_TARGETS,DRUG_CANDIDATE_RECORD_COUNT_NONZERO,1443,29606,4.874012
ALL_TESTED,CHEMBL,IDENTIFIER_MAPPED,5963,29606,20.141188
ALL_TESTED,CHEMBL,TARGET_PRESENT,5963,29606,20.141188
ALL_TESTED,CHEMBL,TARGET_PARTIAL,0,29606,0.000000
ALL_TESTED,CHEMBL,TARGET_NOT_FOUND_IN_API,0,29606,0.000000
U2_EFFECT_SUPPORTED_DE,REGISTRY,ROWS_PRESERVED,14064,14064,100.000000
U2_EFFECT_SUPPORTED_DE,OPEN_TARGETS,IDENTIFIER_MAPPED,13691,14064,97.347838
U2_EFFECT_SUPPORTED_DE,OPEN_TARGETS,TARGET_PRESENT,13691,14064,97.347838
U2_EFFECT_SUPPORTED_DE,OPEN_TARGETS,TARGET_NOT_FOUND_IN_API,0,14064,0.000000
U2_EFFECT_SUPPORTED_DE,OPEN_TARGETS,LUAD_DIRECT_ASSOCIATION_PRESENT,4871,14064,34.634528
U2_EFFECT_SUPPORTED_DE,OPEN_TARGETS,LUAD_INDIRECT_ASSOCIATION_PRESENT,4877,14064,34.677190
U2_EFFECT_SUPPORTED_DE,OPEN_TARGETS,LITERATURE_COUNT_NONZERO,10397,14064,73.926337
U2_EFFECT_SUPPORTED_DE,OPEN_TARGETS,DRUG_CANDIDATE_RECORD_COUNT_NONZERO,815,14064,5.794937
U2_EFFECT_SUPPORTED_DE,CHEMBL,IDENTIFIER_MAPPED,2767,14064,19.674346
U2_EFFECT_SUPPORTED_DE,CHEMBL,TARGET_PRESENT,2767,14064,19.674346
U2_EFFECT_SUPPORTED_DE,CHEMBL,TARGET_PARTIAL,0,14064,0.000000
U2_EFFECT_SUPPORTED_DE,CHEMBL,TARGET_NOT_FOUND_IN_API,0,14064,0.000000
