EnsemblID,EnsemblID_base,Symbol,gene_type,U2_effect_supported_DE,OpenTargets_target_ID,ChEMBL_target_ID,ot_target_retrieval_status,ot_target_approved_name,ot_target_approved_symbol,ot_target_biotype,ot_literature_occurrence_count,ot_literature_filtered_count,ot_drug_clinical_candidate_record_count,ot_target_annotation_source,ot_luad_disease_id,ot_luad_disease_name,ot_luad_direct_association_status,ot_luad_direct_association_count,ot_luad_direct_association_score_native,ot_luad_direct_datasource_scores_native_json,ot_luad_direct_datatype_scores_native_json,ot_luad_indirect_association_status,ot_luad_indirect_association_count,ot_luad_indirect_association_score_native,ot_luad_association_source,chembl_target_retrieval_status,chembl_target_record_count,chembl_target_annotations_json,chembl_target_annotation_source
ENSG00000248551.1,ENSG00000248551,RP11-287F9.2,lincRNA,TRUE,ENSG00000248551,NOT_FOUND,PRESENT,novel transcript,ENSG00000248551,lncRNA,0,0,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000108576.9,ENSG00000108576,SLC6A4,protein_coding,TRUE,ENSG00000108576,CHEMBL2095201|CHEMBL2111346|CHEMBL228|CHEMBL2363064,PRESENT,solute carrier family 6 member 4,SLC6A4,protein_coding,14850,14850,67,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,PRESENT,1,0.043559783661584354,"[{""id"":""europepmc"",""score"":0.039346632178752144},{""id"":""expression_atlas"",""score"":0.34842602442441667}]","[{""id"":""literature"",""score"":0.039346632178752144},{""id"":""rna_expression"",""score"":0.34842602442441667}]",PRESENT,1,0.043559783661584354,OPEN_TARGETS_PLATFORM_GRAPHQL,PRESENT,4,"[{""organism"":""Homo sapiens"",""pref_name"":""Monoamine transporters; serotonin & dopamine"",""species_group_flag"":false,""target_chembl_id"":""CHEMBL2095201"",""target_type"":""SELECTIVITY GROUP"",""tax_id"":9606},{""organism"":""Homo sapiens"",""pref_name"":""Serotonin and norepinephrine transporters (SERT/NET)"",""species_group_flag"":false,""target_chembl_id"":""CHEMBL2111346"",""target_type"":""SELECTIVITY GROUP"",""tax_id"":9606},{""organism"":""Homo sapiens"",""pref_name"":""Sodium-dependent serotonin transporter"",""species_group_flag"":false,""target_chembl_id"":""CHEMBL228"",""target_type"":""SINGLE PROTEIN"",""tax_id"":9606},{""organism"":""Homo sapiens"",""pref_name"":""Monoamine transporter"",""species_group_flag"":false,""target_chembl_id"":""CHEMBL2363064"",""target_type"":""PROTEIN FAMILY"",""tax_id"":9606}]",CHEMBL_TARGET_API
ENSG00000186994.11,ENSG00000186994,KANK3,protein_coding,TRUE,ENSG00000186994,NOT_FOUND,PRESENT,KN motif and ankyrin repeat domains 3,KANK3,protein_coding,69,69,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,PRESENT,1,0.026916958911449709,"[{""id"":""europepmc"",""score"":0.06079307976116211},{""id"":""expression_atlas"",""score"":0.20618349766548316}]","[{""id"":""literature"",""score"":0.06079307976116211},{""id"":""rna_expression"",""score"":0.20618349766548316}]",PRESENT,1,0.026916958911449709,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000224215.1,ENSG00000224215,RP11-371A19.2,antisense,TRUE,ENSG00000224215,NOT_FOUND,PRESENT,C10orf67 antisense RNA 1,C10orf67-AS1,lncRNA,0,0,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000244215.1,ENSG00000244215,LINC02016,lincRNA,TRUE,ENSG00000244215,NOT_FOUND,PRESENT,long independently transcribed non-coding RNA 2016,LINC02016,lncRNA,2,2,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000182010.10,ENSG00000182010,RTKN2,protein_coding,TRUE,ENSG00000182010,NOT_FOUND,PRESENT,rhotekin 2,RTKN2,protein_coding,318,318,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,PRESENT,1,0.036082081212867434,"[{""id"":""europepmc"",""score"":0.08966979264771412},{""id"":""expression_atlas"",""score"":0.2743439706921843}]","[{""id"":""literature"",""score"":0.08966979264771412},{""id"":""rna_expression"",""score"":0.2743439706921843}]",PRESENT,1,0.036082081212867434,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000237167.1,ENSG00000237167,AC128709.2,lincRNA,TRUE,ENSG00000237167,NOT_FOUND,PRESENT,novel transcript,ENSG00000237167,lncRNA,0,0,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000180440.3,ENSG00000180440,SERTM1,protein_coding,TRUE,ENSG00000180440,NOT_FOUND,PRESENT,serine rich and transmembrane domain containing 1,SERTM1,protein_coding,51,51,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,PRESENT,1,0.014136429441689843,"[{""id"":""europepmc"",""score"":0.01823792392834863},{""id"":""expression_atlas"",""score"":0.11170728406113536}]","[{""id"":""literature"",""score"":0.01823792392834863},{""id"":""rna_expression"",""score"":0.11170728406113536}]",PRESENT,1,0.014136429441689843,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000198358.4,ENSG00000198358,RP11-544M22.1,antisense,TRUE,ENSG00000198358,NOT_FOUND,PRESENT,antisense to ITLN2,ENSG00000198358,lncRNA,0,0,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000170323.8,ENSG00000170323,FABP4,protein_coding,TRUE,ENSG00000170323,CHEMBL2083,PRESENT,fatty acid binding protein 4,FABP4,protein_coding,13326,13326,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,PRESENT,1,0.05613434485681057,"[{""id"":""europepmc"",""score"":0.23312159476552552},{""id"":""expression_atlas"",""score"":0.40340327548128496}]","[{""id"":""literature"",""score"":0.23312159476552552},{""id"":""rna_expression"",""score"":0.40340327548128496}]",PRESENT,1,0.05613434485681057,OPEN_TARGETS_PLATFORM_GRAPHQL,PRESENT,1,"[{""organism"":""Homo sapiens"",""pref_name"":""Fatty acid-binding protein, adipocyte"",""species_group_flag"":false,""target_chembl_id"":""CHEMBL2083"",""target_type"":""SINGLE PROTEIN"",""tax_id"":9606}]",CHEMBL_TARGET_API
