"expression_record_index","expression_record_name","case_submitter_id","tcga_sample_barcode","sample_type","aliquot_barcode","exclusion_reason","evidence_type","evidence_source","current_gdc_is_ffpe","historical_annotation"
537,"247b7dd3-c5de-4d54-b24e-d2fb54397ea7","TCGA-44-2656","TCGA-44-2656-01","Primary Tumor","TCGA-44-2656-01B-06R-A277-07","excluded_current_GDC_is_ffpe_TRUE","current_GDC_sample_level_FFPE_flag","recount3 colData: tcga.gdc_cases.samples.is_ffpe; Task #004B source-traced historical annotation",TRUE,"Item is noncanonical; FFPE"
523,"21c63032-bdbc-4821-a49d-ef1c21862896","TCGA-44-2662","TCGA-44-2662-01","Primary Tumor","TCGA-44-2662-01B-02R-A277-07","excluded_current_GDC_is_ffpe_TRUE","current_GDC_sample_level_FFPE_flag","recount3 colData: tcga.gdc_cases.samples.is_ffpe; Task #004B source-traced historical annotation",TRUE,"Item is noncanonical; FFPE"
356,"63721ec4-c3fd-40af-9999-23106ec182cb","TCGA-44-2665","TCGA-44-2665-01","Primary Tumor","TCGA-44-2665-01B-06R-A277-07","excluded_current_GDC_is_ffpe_TRUE","current_GDC_sample_level_FFPE_flag","recount3 colData: tcga.gdc_cases.samples.is_ffpe; Task #004B source-traced historical annotation",TRUE,"Item is noncanonical; FFPE"
335,"3f097c16-6b29-40d3-be45-bb322fefd3af","TCGA-44-2666","TCGA-44-2666-01","Primary Tumor","TCGA-44-2666-01B-02R-A277-07","excluded_current_GDC_is_ffpe_TRUE","current_GDC_sample_level_FFPE_flag","recount3 colData: tcga.gdc_cases.samples.is_ffpe; Task #004B source-traced historical annotation",TRUE,"Item is noncanonical; FFPE"
344,"d98a7a12-b81c-4534-8735-22860a9c90bb","TCGA-44-2668","TCGA-44-2668-01","Primary Tumor","TCGA-44-2668-01B-02R-A277-07","excluded_current_GDC_is_ffpe_TRUE","current_GDC_sample_level_FFPE_flag","recount3 colData: tcga.gdc_cases.samples.is_ffpe; Task #004B source-traced historical annotation",TRUE,"Item is noncanonical; FFPE"
268,"bc2362c6-f123-49d9-a916-49ba7f37a06f","TCGA-44-3917","TCGA-44-3917-01","Primary Tumor","TCGA-44-3917-01B-02R-A277-07","excluded_current_GDC_is_ffpe_TRUE","current_GDC_sample_level_FFPE_flag","recount3 colData: tcga.gdc_cases.samples.is_ffpe; Task #004B source-traced historical annotation",TRUE,"Item is noncanonical; FFPE"
328,"ecc40a03-488e-4076-8a3a-234d968623ad","TCGA-44-3918","TCGA-44-3918-01","Primary Tumor","TCGA-44-3918-01B-02R-A277-07","excluded_current_GDC_is_ffpe_TRUE","current_GDC_sample_level_FFPE_flag","recount3 colData: tcga.gdc_cases.samples.is_ffpe; Task #004B source-traced historical annotation",TRUE,"Item is noncanonical; FFPE"
438,"df67f589-a607-4b95-96b8-4bb344132312","TCGA-44-4112","TCGA-44-4112-01","Primary Tumor","TCGA-44-4112-01B-06R-A277-07","excluded_current_GDC_is_ffpe_TRUE","current_GDC_sample_level_FFPE_flag","recount3 colData: tcga.gdc_cases.samples.is_ffpe; Task #004B source-traced historical annotation",TRUE,"Item is noncanonical; FFPE"
213,"88a6d5d6-1945-431b-9602-a10ce85e6c32","TCGA-44-5645","TCGA-44-5645-01","Primary Tumor","TCGA-44-5645-01B-04R-A277-07","excluded_current_GDC_is_ffpe_TRUE","current_GDC_sample_level_FFPE_flag","recount3 colData: tcga.gdc_cases.samples.is_ffpe; Task #004B source-traced historical annotation",TRUE,"Item is noncanonical; FFPE"
317,"8105b7fc-24f3-4ac5-ad19-05905a4e7da4","TCGA-44-6146","TCGA-44-6146-01","Primary Tumor","TCGA-44-6146-01B-04R-A277-07","excluded_current_GDC_is_ffpe_TRUE","current_GDC_sample_level_FFPE_flag","recount3 colData: tcga.gdc_cases.samples.is_ffpe; Task #004B source-traced historical annotation",TRUE,"Item is noncanonical; FFPE"
295,"66c79790-288f-4273-9f87-6c21cd256c8e","TCGA-44-6147","TCGA-44-6147-01","Primary Tumor","TCGA-44-6147-01B-06R-A277-07","excluded_current_GDC_is_ffpe_TRUE","current_GDC_sample_level_FFPE_flag","recount3 colData: tcga.gdc_cases.samples.is_ffpe; Task #004B source-traced historical annotation",TRUE,"Item is noncanonical; FFPE"
156,"1b17acb9-7e93-4513-b2f5-60bbb06cd40e","TCGA-44-6775","TCGA-44-6775-01","Primary Tumor","TCGA-44-6775-01C-02R-A277-07","excluded_current_GDC_is_ffpe_TRUE","current_GDC_sample_level_FFPE_flag","recount3 colData: tcga.gdc_cases.samples.is_ffpe; Task #004B source-traced historical annotation",TRUE,"Item is noncanonical; FFPE"
443,"b325b9ba-61a1-4c1c-9bc7-5a129b653c1a","TCGA-44-2656","TCGA-44-2656-01","Primary Tumor","TCGA-44-2656-01A-02R-A278-07","excluded_exact_historical_noncanonical_FFPE_validation_aliquot","historical_aliquot_level_noncanonical_FFPE_validation_annotation","https://gdac.broadinstitute.org/runs/stddata__2014_04_16/samples_report/FFPE_Cases.html",FALSE,"Item is noncanonical; FFPE Validation"
115,"2e3f5f34-97be-45e4-9156-370e3d31c1ae","TCGA-44-2662","TCGA-44-2662-01","Primary Tumor","TCGA-44-2662-01A-01R-A278-07","excluded_exact_historical_noncanonical_FFPE_validation_aliquot","historical_aliquot_level_noncanonical_FFPE_validation_annotation","https://gdac.broadinstitute.org/runs/stddata__2014_04_16/samples_report/FFPE_Cases.html",FALSE,"Item is noncanonical; FFPE Validation"
93,"4e7362f4-1848-403c-8d85-d62318b8066c","TCGA-44-2665","TCGA-44-2665-01","Primary Tumor","TCGA-44-2665-01A-01R-A278-07","excluded_exact_historical_noncanonical_FFPE_validation_aliquot","historical_aliquot_level_noncanonical_FFPE_validation_annotation","https://gdac.broadinstitute.org/runs/stddata__2014_04_16/samples_report/FFPE_Cases.html",FALSE,"Item is noncanonical; FFPE Validation"
260,"2ea412f9-b972-49b0-81cc-6d0f5da6e163","TCGA-44-2666","TCGA-44-2666-01","Primary Tumor","TCGA-44-2666-01A-01R-A278-07","excluded_exact_historical_noncanonical_FFPE_validation_aliquot","historical_aliquot_level_noncanonical_FFPE_validation_annotation","https://gdac.broadinstitute.org/runs/stddata__2014_04_16/samples_report/FFPE_Cases.html",FALSE,"Item is noncanonical; FFPE Validation"
221,"80dfb314-f214-41c8-ad2e-c82b934f123b","TCGA-44-2668","TCGA-44-2668-01","Primary Tumor","TCGA-44-2668-01A-01R-A278-07","excluded_exact_historical_noncanonical_FFPE_validation_aliquot","historical_aliquot_level_noncanonical_FFPE_validation_annotation","https://gdac.broadinstitute.org/runs/stddata__2014_04_16/samples_report/FFPE_Cases.html",FALSE,"Item is noncanonical; FFPE Validation"
