"metric","value"
"prior_current_GDC_FFPE_records_remaining","0"
"final_Christiana_observations","62"
"Christiana_observations_among_lowest_12_PC2","2"
"Christiana_observations_among_highest_12_RLE_IQR","0"
"retained_primary_tumors_from_12_prior_FFPE_affected_cases","11"
"affected_case_primary_tumors_among_lowest_12_PC2","1"
"affected_case_primary_tumors_among_highest_12_RLE_IQR","0"
"affected_case_primary_tumors_exactly_occupy_lowest_11_PC2","FALSE"
"affected_case_primary_tumor_maximum_RLE_IQR","1.27101075442846"
"final_samples_with_RLE_IQR_above_2","2"
"final_maximum_RLE_IQR","2.08179941569539"
"prior_exact_FFPE_cluster_absent","TRUE"
