"final_observation_index","tcga_sample_barcode","sample_id","sample_submitter_id","case_id","case_submitter_id","sample_type","group","batch_number","tissue_source_site","tissue_source_site_code","n_expression_records_aggregated","raw_library_size_before_filtering","raw_library_size_after_filtering","tmm_normalization_factor","effective_library_size","MDS1","MDS2","PC1","PC2","PC3","PC4","PC5","RLE_median_logCPM","RLE_IQR_logCPM"
1,"TCGA-55-7911-01","49cf5040-2d73-4538-8825-7fba37379289","TCGA-55-7911-01A","1f0a5312-0590-4230-9da9-fd0cfe693586","TCGA-55-7911","Primary Tumor","tumor","196","International Genomics Consortium","55",1,49910355,49887835,1.11979288958654,55864042.9098668,0.00577868429308299,-1.97119131030526,-27.0052736783455,11.0533117820505,-18.8073356254295,60.5639295271497,-18.0706253362379,0,0.981817912788356
2,"TCGA-44-2656-01","5593f581-3d45-4a4a-a525-bfae1f4753a0","TCGA-44-2656-01A","42ca54fc-c1ae-41cd-bca1-7fe9810db460","TCGA-44-2656","Primary Tumor","tumor","37","Christiana Healthcare","44",1,97684569,97657770,0.979357164242913,95641836.6934866,0.152486727590749,-1.44469986184965,-3.49855950871536,-45.8390058116933,-16.411423474141,46.8968279373771,17.9479984110156,0.0108355368821271,0.83303330916784
3,"TCGA-44-2657-11","e443f8b9-d975-4e40-bb62-af4380ceb520","TCGA-44-2657-11A","f40301ba-831e-4afd-9ce8-5f3c1a05ff7e","TCGA-44-2657","Solid Tissue Normal","normal","52","Christiana Healthcare","44",1,50463042,50448788,0.967197072929442,48793920.086438,2.28435537078748,0.210790389975907,120.400690821668,-34.2346085012254,-9.90749799762662,-16.3303037116999,23.685559516745,-5.32907051820075e-15,0.879783829947993
4,"TCGA-44-5644-01","597d38ff-839c-4fe3-b889-efd0f680b715","TCGA-44-5644-01A","1fc81cd4-fa89-4135-8c3c-027ffae82b05","TCGA-44-5644","Primary Tumor","tumor","166","Christiana Healthcare","44",1,37876719,37843319,1.06026769206483,40124048.4962033,-1.88636120569471,1.97627108861722,-99.7237287132129,80.9718857534643,-13.0435168737072,-86.6618394600897,-10.4413289914171,0.0131712724513116,1.45949149300717
5,"TCGA-55-8616-01","2f073ffa-787e-4657-b1cd-d2db4865c809","TCGA-55-8616-01A","fe714ac0-f874-426a-924b-a2980232b5f7","TCGA-55-8616","Primary Tumor","tumor","238","International Genomics Consortium","55",1,48610491,48597444,1.03581757868781,50338086.7744963,0.413192805606191,-0.327853743063043,6.60704827220729,48.2795696590416,-6.0550077146902,43.1614979434254,-9.33456149179957,0.0234229046066108,1.00034563682538
6,"TCGA-91-A4BC-01","485a7981-a812-4c8c-a288-4f5cd8a50607","TCGA-91-A4BC-01A","ea0b9461-0d4d-4ade-a255-1b03dd85e30e","TCGA-91-A4BC","Primary Tumor","tumor","258","ABS - IUPUI","91",1,48538763,48514190,0.950796827986854,46127137.9643516,-1.92513403504223,0.724020970269139,-59.1131009620904,20.7018974676126,-95.9994632471771,-51.7382818326933,19.150849828517,0.0113166509289466,1.18742959578457
7,"TCGA-L9-A444-01","452d513d-d9f8-40bf-a3a7-75453c875561","TCGA-L9-A444-01A","4a1d30e8-e93a-41ed-8e54-08eaff6556a7","TCGA-L9-A444","Primary Tumor","tumor","258","Candler","L9",1,40571324,40555082,0.977266683707756,39633130.4936361,-0.600729688685958,-1.90403636447399,-21.4574323360039,16.7282771282452,-75.2545146400695,54.4584897727772,1.72695689868493,-5.32907051820075e-15,1.06072166517331
8,"TCGA-80-5607-01","4736860e-fd90-40d1-815e-e1d164123dd8","TCGA-80-5607-01A","645903b5-ba37-48a1-985b-a019b8db3236","TCGA-80-5607","Primary Tumor","tumor","160","Ontario Institute for Cancer Research (OICR)/Ottawa","80",1,31780588,31771267,1.03294634700794,32818014.1874638,0.633524497997972,-0.419349809560313,10.946106711326,-8.13513478271004,15.0001195467978,31.5254834410407,14.8419019507736,-0.00245558379008903,0.853810497131693
9,"TCGA-97-8175-01","a05b004e-8a92-4520-a3e1-85ed60db14fa","TCGA-97-8175-01A","f4350d9c-3f40-4829-bbc4-8acb2f3ff512","TCGA-97-8175","Primary Tumor","tumor","222","Washington University - NYU","97",1,75336023,75312677,0.981318044001844,73905688.8821827,-0.343341907790454,-1.45338772829794,-30.410334414528,-8.20441066615498,22.1249809286109,66.3799810464316,-23.5420797710222,0.00277163638602251,0.972831115126073
10,"TCGA-55-7281-01","afec3b25-c3f7-4e48-8fb0-6fb4dd581081","TCGA-55-7281-01A","659668e8-f0d9-4ff2-bbc8-9246f2ef49ab","TCGA-55-7281","Primary Tumor","tumor","166","International Genomics Consortium","55",1,51462737,51451285,0.878122618698086,45180537.1195816,0.255080669011694,-1.66594006882681,5.02000700680036,-21.3971425199897,6.22822763330138,77.0708576901602,10.357915051246,-0.0103813745624783,0.989518760027648
