EnsemblID,EnsemblID_base,Symbol,gene_type,HGNC_ID,HGNC_ID_status,HGNC_ID_source,Entrez_ID,Entrez_ID_status,Entrez_ID_source,UniProt_ID,UniProt_ID_status,UniProt_ID_source,OpenTargets_target_ID,OpenTargets_target_ID_status,OpenTargets_target_ID_source,ChEMBL_target_ID,ChEMBL_target_ID_status,ChEMBL_target_ID_source,ChEMBL_mapping_basis,ChEMBL_matched_UniProt_ID,current_HGNC_symbol,symbol_qc_status,one_to_many_fields,ambiguous_mapping,ambiguous_fields,mapping_note
ENSG00000248551.1,ENSG00000248551,RP11-287F9.2,lincRNA,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000248551,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,NOT_FOUND,NOT_ASSESSED_NO_HGNC_MAPPING,NONE,FALSE,NONE,
ENSG00000108576.9,ENSG00000108576,SLC6A4,protein_coding,HGNC:11050,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,6532,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,P31645,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000108576,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,CHEMBL2095201|CHEMBL2111346|CHEMBL228|CHEMBL2363064,ONE_TO_MANY,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,P31645,SLC6A4,MATCH,ChEMBL_target_ID,FALSE,NONE,one-to-many fields retained without choosing a preferred identifier
ENSG00000186994.11,ENSG00000186994,KANK3,protein_coding,HGNC:24796,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,256949,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,Q6NY19,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000186994,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,KANK3,MATCH,NONE,FALSE,NONE,
ENSG00000224215.1,ENSG00000224215,RP11-371A19.2,antisense,HGNC:55861,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,105376453,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000224215,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,C10orf67-AS1,MISMATCH_CURRENT_HGNC,NONE,FALSE,NONE,registry symbol differs from current HGNC symbol; symbol was not used for mapping
ENSG00000244215.1,ENSG00000244215,LINC02016,lincRNA,HGNC:52851,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,101927123,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000244215,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,LINC02016,MATCH,NONE,FALSE,NONE,
ENSG00000182010.10,ENSG00000182010,RTKN2,protein_coding,HGNC:19364,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,219790,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,Q8IZC4,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000182010,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,RTKN2,MATCH,NONE,FALSE,NONE,
ENSG00000237167.1,ENSG00000237167,AC128709.2,lincRNA,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000237167,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,NOT_FOUND,NOT_ASSESSED_NO_HGNC_MAPPING,NONE,FALSE,NONE,
ENSG00000180440.3,ENSG00000180440,SERTM1,protein_coding,HGNC:33792,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,400120,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,A2A2V5,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000180440,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,SERTM1,MATCH,NONE,FALSE,NONE,
ENSG00000198358.4,ENSG00000198358,RP11-544M22.1,antisense,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000198358,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,NOT_FOUND,NOT_ASSESSED_NO_HGNC_MAPPING,NONE,FALSE,NONE,
ENSG00000170323.8,ENSG00000170323,FABP4,protein_coding,HGNC:3559,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,2167,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,P15090,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000170323,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,CHEMBL2083,UNIQUE,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,P15090,FABP4,MATCH,NONE,FALSE,NONE,
