scope,identifier,metric,count,denominator,percent
ALL_TESTED,HGNC_ID,MAPPED,24474,29606,82.665676
ALL_TESTED,HGNC_ID,NOT_FOUND,5132,29606,17.334324
ALL_TESTED,HGNC_ID,UNIQUE,24473,29606,82.662298
ALL_TESTED,HGNC_ID,ONE_TO_MANY,0,29606,0.000000
ALL_TESTED,HGNC_ID,AMBIGUOUS,1,29606,0.003378
ALL_TESTED,Entrez_ID,MAPPED,24268,29606,81.969871
ALL_TESTED,Entrez_ID,NOT_FOUND,5338,29606,18.030129
ALL_TESTED,Entrez_ID,UNIQUE,24267,29606,81.966493
ALL_TESTED,Entrez_ID,ONE_TO_MANY,0,29606,0.000000
ALL_TESTED,Entrez_ID,AMBIGUOUS,1,29606,0.003378
ALL_TESTED,UniProt_ID,MAPPED,17699,29606,59.781801
ALL_TESTED,UniProt_ID,NOT_FOUND,11907,29606,40.218199
ALL_TESTED,UniProt_ID,UNIQUE,17655,29606,59.633182
ALL_TESTED,UniProt_ID,ONE_TO_MANY,44,29606,0.148619
ALL_TESTED,UniProt_ID,AMBIGUOUS,0,29606,0.000000
ALL_TESTED,OpenTargets_target_ID,MAPPED,28893,29606,97.591704
ALL_TESTED,OpenTargets_target_ID,NOT_FOUND,713,29606,2.408296
ALL_TESTED,OpenTargets_target_ID,UNIQUE,28893,29606,97.591704
ALL_TESTED,OpenTargets_target_ID,ONE_TO_MANY,0,29606,0.000000
ALL_TESTED,OpenTargets_target_ID,AMBIGUOUS,0,29606,0.000000
ALL_TESTED,ChEMBL_target_ID,MAPPED,5963,29606,20.141188
ALL_TESTED,ChEMBL_target_ID,NOT_FOUND,23643,29606,79.858812
ALL_TESTED,ChEMBL_target_ID,UNIQUE,4498,29606,15.192866
ALL_TESTED,ChEMBL_target_ID,ONE_TO_MANY,1465,29606,4.948321
ALL_TESTED,ChEMBL_target_ID,AMBIGUOUS,0,29606,0.000000
ALL_TESTED,ROW_LEVEL_QC,ANY_AMBIGUOUS_MAPPING,1,29606,0.003378
ALL_TESTED,ROW_LEVEL_QC,ANY_ONE_TO_MANY_MAPPING,1501,29606,5.069918
ALL_TESTED,ROW_LEVEL_QC,SYMBOL_MATCH_CURRENT_HGNC,20942,29606,70.735662
ALL_TESTED,ROW_LEVEL_QC,SYMBOL_MISMATCH_CURRENT_HGNC,3531,29606,11.926636
U2_EFFECT_SUPPORTED_DE,HGNC_ID,MAPPED,11647,14064,82.814278
U2_EFFECT_SUPPORTED_DE,HGNC_ID,NOT_FOUND,2417,14064,17.185722
U2_EFFECT_SUPPORTED_DE,HGNC_ID,UNIQUE,11646,14064,82.807167
U2_EFFECT_SUPPORTED_DE,HGNC_ID,ONE_TO_MANY,0,14064,0.000000
U2_EFFECT_SUPPORTED_DE,HGNC_ID,AMBIGUOUS,1,14064,0.007110
U2_EFFECT_SUPPORTED_DE,Entrez_ID,MAPPED,11544,14064,82.081911
U2_EFFECT_SUPPORTED_DE,Entrez_ID,NOT_FOUND,2520,14064,17.918089
U2_EFFECT_SUPPORTED_DE,Entrez_ID,UNIQUE,11543,14064,82.074801
U2_EFFECT_SUPPORTED_DE,Entrez_ID,ONE_TO_MANY,0,14064,0.000000
U2_EFFECT_SUPPORTED_DE,Entrez_ID,AMBIGUOUS,1,14064,0.007110
U2_EFFECT_SUPPORTED_DE,UniProt_ID,MAPPED,8441,14064,60.018487
U2_EFFECT_SUPPORTED_DE,UniProt_ID,NOT_FOUND,5623,14064,39.981513
U2_EFFECT_SUPPORTED_DE,UniProt_ID,UNIQUE,8420,14064,59.869170
U2_EFFECT_SUPPORTED_DE,UniProt_ID,ONE_TO_MANY,21,14064,0.149317
U2_EFFECT_SUPPORTED_DE,UniProt_ID,AMBIGUOUS,0,14064,0.000000
U2_EFFECT_SUPPORTED_DE,OpenTargets_target_ID,MAPPED,13691,14064,97.347838
U2_EFFECT_SUPPORTED_DE,OpenTargets_target_ID,NOT_FOUND,373,14064,2.652162
U2_EFFECT_SUPPORTED_DE,OpenTargets_target_ID,UNIQUE,13691,14064,97.347838
U2_EFFECT_SUPPORTED_DE,OpenTargets_target_ID,ONE_TO_MANY,0,14064,0.000000
U2_EFFECT_SUPPORTED_DE,OpenTargets_target_ID,AMBIGUOUS,0,14064,0.000000
U2_EFFECT_SUPPORTED_DE,ChEMBL_target_ID,MAPPED,2767,14064,19.674346
U2_EFFECT_SUPPORTED_DE,ChEMBL_target_ID,NOT_FOUND,11297,14064,80.325654
U2_EFFECT_SUPPORTED_DE,ChEMBL_target_ID,UNIQUE,2052,14064,14.590444
U2_EFFECT_SUPPORTED_DE,ChEMBL_target_ID,ONE_TO_MANY,715,14064,5.083902
U2_EFFECT_SUPPORTED_DE,ChEMBL_target_ID,AMBIGUOUS,0,14064,0.000000
U2_EFFECT_SUPPORTED_DE,ROW_LEVEL_QC,ANY_AMBIGUOUS_MAPPING,1,14064,0.007110
U2_EFFECT_SUPPORTED_DE,ROW_LEVEL_QC,ANY_ONE_TO_MANY_MAPPING,733,14064,5.211889
U2_EFFECT_SUPPORTED_DE,ROW_LEVEL_QC,SYMBOL_MATCH_CURRENT_HGNC,9997,14064,71.082196
U2_EFFECT_SUPPORTED_DE,ROW_LEVEL_QC,SYMBOL_MISMATCH_CURRENT_HGNC,1649,14064,11.724972
