category,scope,metric,value,denominator,percent,status,detail
ASSERTION,FROZEN_INPUT,SHA256_candidate_registry.csv,MATCH,NOT_APPLICABLE,NOT_APPLICABLE,PASS,expected=8055a9d99d058d219399957e62f6a3cccc3dd2217bc028d1d11dd4dc667f90e2;observed=8055a9d99d058d219399957e62f6a3cccc3dd2217bc028d1d11dd4dc667f90e2;path=outputs/candidate_registry/candidate_registry.csv
ASSERTION,FROZEN_INPUT,SHA256_identifier_mapping.csv,MATCH,NOT_APPLICABLE,NOT_APPLICABLE,PASS,expected=ff50b9cc50006710e681bd0d0f21fa3790becc3cd20a476dbbb6ac5459c1594e;observed=ff50b9cc50006710e681bd0d0f21fa3790becc3cd20a476dbbb6ac5459c1594e;path=outputs/identifier_normalization/identifier_mapping.csv
ASSERTION,FROZEN_INPUT,SHA256_evidence_registry.csv,MATCH,NOT_APPLICABLE,NOT_APPLICABLE,PASS,expected=13b6db140c920a60ae3f827ac9df4c4e08916472aa8daafb349acd3a60192405;observed=13b6db140c920a60ae3f827ac9df4c4e08916472aa8daafb349acd3a60192405;path=outputs/evidence_layer/evidence_registry.csv
ASSERTION,FROZEN_INPUT,SHA256_tractability_safety_registry.csv,MATCH,NOT_APPLICABLE,NOT_APPLICABLE,PASS,expected=83d085383c60ecc68815ad02c12ae74ef52e67a45501880581bc53276b658f84;observed=83d085383c60ecc68815ad02c12ae74ef52e67a45501880581bc53276b658f84;path=outputs/tractability_safety/tractability_safety_registry.csv
ASSERTION,ALL_TESTED,ROW_COUNT,29606,29606,100.000000,PASS,
ASSERTION,ALL_TESTED,UNIQUE_ENSEMBL_ID_COUNT,29606,29606,100.000000,PASS,
ASSERTION,ALL_TESTED,ORIGINAL_ENSEMBL_ID_ORDER_PRESERVED,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,PASS,
ASSERTION,U2_EFFECT_SUPPORTED_DE,GENE_COUNT,14064,14064,100.000000,PASS,
ASSERTION,ALL_TESTED,JOIN_KEY,EnsemblID_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,PASS,
ASSERTION,ALL_TESTED,GENE_SYMBOL_USED_AS_JOIN_KEY,FALSE,NOT_APPLICABLE,NOT_APPLICABLE,PASS,
ASSERTION,ALL_TESTED,BLANK_OUTPUT_CELL_COUNT,0,0,NOT_AVAILABLE,PASS,
ASSERTION,ALL_TESTED,FORBIDDEN_EXACT_FIELD_COUNT,0,0,NOT_AVAILABLE,PASS,
ASSERTION,ALL_TESTED,PROJECT_SCORE_OR_RANKING_GENERATED,FALSE,NOT_APPLICABLE,NOT_APPLICABLE,PASS,
ASSERTION,ALL_TESTED,THERAPEUTIC_RECOMMENDATION_GENERATED,FALSE,NOT_APPLICABLE,NOT_APPLICABLE,PASS,
DESCRIPTIVE_COVERAGE,ALL_TESTED,U0_TESTED_TRUE,29606,29606,100.000000,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,U1_DE_TRUE,21232,29606,71.715193,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,U2_EFFECT_SUPPORTED_DE_TRUE,14064,29606,47.503884,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,SIGN_CONCORDANT_ALL_S1_S6_TRUE,26171,29606,88.397622,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,S6_SIGN_FLIP_TRUE,1499,29606,5.063163,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,MODEL_DEPENDENT_ANY_TOP50_TRUE,261,29606,0.881578,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,HGNC_ID_MAPPED,24474,29606,82.665676,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,ENTREZ_ID_MAPPED,24268,29606,81.969871,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,UNIPROT_ID_MAPPED,17699,29606,59.781801,INFO,
