audit_sequence,EnsemblID,profile_id,partition_id,audit_key,selection_rule_id
1,ENSG00000184564.8,PRF_D8A47A903EA34650BFE32369,pb0,000048ae4696805f9ab0f8674ac14cc66926d2b8619a1474229492603eeb72fb,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
2,ENSG00000231749.3,PRF_DD0D5EBCC662C9721EBE4C43,p9e,0000c6a07b4126347183abf704faed03b816cf7113c5b60769bbd0a9d89e3fb5,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
3,ENSG00000233609.3,PRF_CE664437563C26FAE094A385,pc8,00037453366da04271938d177248ee4ac915c3b58b26130593c4041080a73a6d,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
4,ENSG00000198520.10,PRF_A4B3BFB671066F89C10D2282,p7a,0005fe1b81058afdd43705474e4b9960674490bb9c08d84af3c0162ace63f525,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
5,ENSG00000124615.17,PRF_853A4AC8F601E7A0C059C9B1,pa2,000612707ec26fceb53d4037df6847021e67251a70cf22cc5eeb419f2c8050fd,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
6,ENSG00000174498.13,PRF_574DE242B8CD162457E301E5,p7c,0009506ee08b820c37ef4b946e845e69ee8af2a777d0cf190fda890e9b35dd11,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
7,ENSG00000067225.17,PRF_297992F7091426BDF4D3877E,p30,000a079ee2b2e2192666628da659f38caaf676030aa2b5075587bfbb78ffb194,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
8,ENSG00000128709.12,PRF_2395235356C53614492ED5C1,pf4,000ba0f72fed847e9d25b518cc3918c543ea162966417fc97b53ec177eff5b83,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
9,ENSG00000213148.3,PRF_52E988697ED520BBBCA40950,pd3,000d6ee52a16e8afce6fd639bcb7c3b7ac1c53dc5d547790a77106196d64087b,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
10,ENSG00000111348.8,PRF_3AF4A945D57D7920E0CF675E,p24,000e2c63d0ac71c31275845869d5a73ce88ba0649abed2231ab374bc9e36656e,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
11,ENSG00000204611.6,PRF_69254502EAD4AED6CA406F9B,pe9,000e865c3516f3de91e1e3fbfe40922c0a59593c6dc3e13e94753c523107f0a4,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
12,ENSG00000108883.12,PRF_F03F1BBB79AECEB38EDF8CAD,pe1,0010854a09a6f9fbe64b63d0c2d10258f23b71b8fa4c4b2714b8921824ced805,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
13,ENSG00000002079.13,PRF_91412DCE9FEADF0077AEE8E6,pe4,001120ed8785eb95645dc86ab188b1d082445649b5197b3d1217665d7fbdf203,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
14,ENSG00000049192.14,PRF_F4857DEE03BF80CE03DCE89B,p3e,001271eca39f58e0c78f156c6549865f061b4cffbc3514da76f7ff72b03e9950,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
15,ENSG00000247199.3,PRF_FF34C49C2EE7ABB031E1B102,p3e,0018ff12fe28aed92532d13a16dd7c9e96d15857a3ccbfbfaec7a12d139a1713,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
16,ENSG00000173706.12,PRF_36620251C413C7BD4A32099E,pf1,0019ac585177e211c4fe20af3e61170d1eb0070f358c8b8faffa613a4dc845cf,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
17,ENSG00000104419.14,PRF_FA23AB5404CC1146465DF870,pb4,001a003223e738c1694a3eea0c8e1a9807d8464b34fe5de2df7dd9e26d76ae3f,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
18,ENSG00000165966.14,PRF_6CBDA78CB50151B3A7ABD53A,pf6,001a9090e306c7c0012d681d2264da8ce8ae79553440d154f2a6297eabcfa6af,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
19,ENSG00000267573.1,PRF_89C299678F8BBEA047E3F6B0,pd0,001ebccd013e5f2cb794dc4db06d25eb412ca770409850cdea43a7b2a13ac79e,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
20,ENSG00000135502.17,PRF_5A10791149D157C68CBA082E,p40,00229e6637854694eea1091f1d33ec339a216de0d2709a18df6ec6f3a69bf0e8,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
21,ENSG00000275764.1,PRF_05E38E70778B98E1847161D2,pc4,0022a10426502d63640530a79b8500c32ef5dbfc3b279cfd15132dd6e93f5aca,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
22,ENSG00000141560.14,PRF_F47CD86A1DEF840FDA5A2EA8,p52,00263c897bb16e0f3f68644b7d8dc420491f5569afd51ce4671ad88e6e5c42d5,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
23,ENSG00000103051.18,PRF_14A8843A0A475419D8DA0516,p11,0026798817352ea3b6654cb8bd94c68cc8535d2679fb6078235d45ff364b2b25,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
24,ENSG00000275759.1,PRF_61DFB81BA5D17795E90EF834,p54,0029053c47e2a9ce7ad35c6645f476c566bf0fad319ac8f4c67901f155b238cb,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
25,ENSG00000130348.11,PRF_43C9AEF5177A7282C713C9D1,pe3,002d3eba537dcb89ee8134e7138e6820c7d59dbeaef01818da0f73bab50614c2,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
26,ENSG00000166448.14,PRF_D85D55A3AC8182AED57FC557,pce,002ea84f69d9cc7a2771563094a818f70606c3986d3708584ad4c06327c59a58,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
27,ENSG00000105281.12,PRF_E07370BCE73A1D5F080479E1,p1c,002f2fcdb418e5c6fea7106b57e291eaac2291ec8b5bef39bc92f0da70fd6a1a,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
28,ENSG00000270726.6,PRF_60CECAD43A854E6DCE142B13,p5a,0030b8029aaa9d00089264d635197091db97eecd30ad7bbb47b997fffb9923f0,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
29,ENSG00000203288.3,PRF_FCA66980320BF0C620400088,p7e,003107f49ca2b096f9472c264888ed57dae652588bd64e7e6d5c2cb98b9c20a8,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
30,ENSG00000188451.8,PRF_9632E12A91AF9ADD5EE4D5A2,peb,003299830896fc77a3ac9763450e3b19a7375e3dec5f712922c65074e8068d98,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
31,ENSG00000198807.12,PRF_905F86C1BF477F6298E7BF00,pc9,0034ba726a33025746618f8b4fc2e70fe4a165d91844dc295ec0c03181ce733b,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
32,ENSG00000126259.19,PRF_41086609878C468D2D150F48,p07,0035f3575cb452019ee0be4afa90169722ae9ff7200c836453d9e1562c43200e,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
33,ENSG00000234768.1,PRF_319866CA558B542D87BB6095,p44,003623cc40eaf18530c578c2523b0be9f89fa5f9d67fc42cbd56945c835b5ae5,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
34,ENSG00000238005.2,PRF_44B101320E30EE3C043D5F70,pd3,0038f7a9b6afa3879623126bf24a5918dab1e7f440c7d7008714d5f87ee023ea,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
35,ENSG00000271851.1,PRF_143E7DA91B6F085418D1D848,pdc,00392a9d534ced3a45fef5d4a9670299e943faa1955e8a4bba2089a9088acd25,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
36,ENSG00000109519.12,PRF_6B1D06408773F5E5CD9089BE,p9a,0039314b4379b28d9f5c5fd4c0477f7f891012df53532a6b41be56e32b5b2d82,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
37,ENSG00000223485.2,PRF_10B1686AB7A15FF32FEC0350,pe3,003b15220bdbd494ff42091bff79652c74ebaec02152ee9aa862d76b428b56cd,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
38,ENSG00000105671.11,PRF_841157A004DA0BE76156E704,peb,003b77b796b7a216784a16470a327ab9070f5f98f696c4edadfae64730aef969,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
39,ENSG00000255518.1,PRF_5A9E347F74664444AE0AE778,pa7,003d123fe11924d7b653d55bf6717422763592d2d33c23a977f170efb139390d,SHA256_RELEASE_ID_ENSEMBL_LOWEST_1_PERCENT_V0.1
