EnsemblID,universe_ordinal,profile_id,profile_version,evidence_snapshot_version,partition_strategy_version,partition_id,profile_artifact_id,profile_content_sha256,component_set
ENSG00000248551.1,1,PRF_E4278D79FF888550FE85E04C,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p7f,ART_645E26AA2AE8E9467D854755,64d4571cae46e639ba4bdeeb09c3ea36a1a90285fd996a293498fcd6cd42c697,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000108576.9,2,PRF_1294891576C2CA06329EB06A,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pda,ART_45849BBBD2A81DAB0291FC2E,009b0a085f2cd9e7c77b8755d3add5ca5e6aaf1be48f5eab40a966afb072db85,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000186994.11,3,PRF_FE9E451F06D2955B81A5C814,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pd7,ART_8F2D686F23DE99C0495555A2,e2e364c100b425db97bb0d65c578a6d33bcb641f04ad8d7c3fffef9bc663da98,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000224215.1,4,PRF_20A087151EAC4BC7AAB58ACA,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pdc,ART_7D894DF64B532F7AC768FF92,3b54582a1e70adcd54e504703be3198236da9a9073a630532e7263471a31c73c,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000244215.1,5,PRF_91C1106968E69A654D5A5C11,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pa1,ART_987F4945E9F47C92BFF9DA74,39e8b2898d24aeb058b5d115a131be1ecaa002b52f5c97ee9e6712988dee69e3,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000182010.10,6,PRF_9BF47CAE1DD61907A6EA6261,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pc8,ART_68A74CB52471CFC4D2B2BE75,87db3790a483a8236dc5e8a5e42292f2d699f7dfb62fb8776995b8564b984c6f,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000237167.1,7,PRF_AFDC53E6D8EE4F3ECBE6CF47,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p68,ART_021A5B96F9710A1EBE257D1C,d59fad53ea518e60b9080fe8f6a44784823ba4937cd99154f7096897d62367ed,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000180440.3,8,PRF_80E966CAD6DB42989C9B4C01,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pd5,ART_ED7F1A452FF2FC2859A4C480,ced2b0e46e80a4c82167cd36fdcaabd832961ff48c6026eb4a7f1a898ee04240,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000198358.4,9,PRF_5E32EEC0B5E3D912FB94F4BB,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pbf,ART_EBCB7112392778111A2DF4CD,2f387ff696b1987d31883cb3f69c67b38d55135225abc57d4ea97fc6986d310b,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000170323.8,10,PRF_51AC5363852BAB66AF8AAC32,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pe2,ART_0CC443F6FF951C130B13CAF4,75488c7c9f78422b3118719debc3323ff0341bbb69711009438ff7b4ecbc6901,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000266120.1,11,PRF_9ECDB31E5680BAD7301F287F,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pd3,ART_B1863858D04A85E6B6106C3C,2c6fe66e5f42a832c6e6de68831b8b00f58df8187f98ad3acab63a4d8948ba35,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000261863.1,12,PRF_9695224BF2E3CE027A7CE0D0,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,paa,ART_68F162B3B772ABCC7728DBFA,2074ba267509effdb54dd8ef3fbe097d84f1e386ac0e193e0d874f1bfd6afc58,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000163815.5,13,PRF_E490543B487F472B7DCCAADD,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pb2,ART_D6C89152B979A6B785446B1E,815f6c83858dc53278789c434448c1a6ca1d769f1e767c7e222264003d5d8912,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000158764.6,14,PRF_968747474E52FDD3AC916AC2,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p92,ART_CC90309417E51EC280189833,e11c5fb62f7bede5bdfac3e3c4e9dfaf768267732bbf71fcd47716ff1f2c17ca,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000135604.9,15,PRF_54FDD5B2D60A8CE3CE2DF73A,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p22,ART_70B5CC3C8FF1CFB122DEC213,ac194cc6d98d9d9e771503e17149914ed1d5907b65adf26a8b58a1eaef85dd03,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000165312.6,16,PRF_98A14F87B6DC90446490DA73,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p60,ART_43306ADD0C786ACC54009837,f6a7bd9fef2be1e2eca4e181b96546cc1098665386c0165082caf25e07901dc7,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000235387.2,17,PRF_0F1BF218FA5E6BE9BA8364ED,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p98,ART_1B5FFE9EAA9EF7992152105E,cb196be9d58436fcbadadc3620e62049ae592b151232598c0f0da68d747c9052,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000234281.5,18,PRF_05205AAE7F395E4ED37FB9AB,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pd3,ART_B1863858D04A85E6B6106C3C,71a1bdab5970e289ae5073690216053c4dfe2657caac3f82789047271b69dfd4,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000105227.14,19,PRF_A2962EEDBA5D04312D45B7D4,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p97,ART_5FF5C80468F9497C07D7315A,aa9c66d1623f6fa6518d8287a4e9f5a787dcf54ffce5ab2bb114444083f78d95,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000034971.16,20,PRF_3E06D8138ACCC3D8B2A5A034,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p52,ART_D3E81E8387CE11F5F45FC88E,8be180c93c7bb1642eff0bf7e4676df3fb6fc5495540e3523131665d1927914f,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000120156.20,21,PRF_A02C09E1CDFB89AD4DB02CF3,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p08,ART_8E7DC0F439950B4CFCF30B41,7431a9f412a5275491ac484ce5066ebbb9863bcf6760554eec85c0c535cc4908,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000132622.10,22,PRF_29B941D1827E1875F96D686E,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pe0,ART_3AE734DAD9B777471DDE0DE4,2f0800dcce080ca75a5ddcc1caa18051ac705ceed7023a3cb330d3bcfb2f5f8f,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000131477.10,23,PRF_11489209A7AB4D6CA75E0930,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p25,ART_C09C46B24A390046246C7BDA,767dbf5ac2aee64b7d20d333a67d0e65229d9064828a9d81bc547bcd247c4ae8,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000150625.16,24,PRF_B2FE379FDD16E50F76C7D69E,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pdd,ART_E977F92DC4583398E6A5BCDE,e1ab903a147a6a7d400819a80788c674bb374cf532bacbdbedcd12b7be59256c,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000183090.5,25,PRF_D606BB2922A776033474F04F,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p51,ART_A52C305128F2B5E02169B764,19a4adfafdcf2e5f92e46b9eb953c2372c80e81b3d32e411efe9b6f86a2f2da0,COMP_TRANSCRIPTOMIC_EVIDENCE
ENSG00000072163.19,26,PRF_C991FB4E476F37428806300A,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pe3,ART_732B8CF113F60D0DCA585BAA,2b8124629340ba4e1effa88f5f8d63a56ebcb7a8b84362d41b2b4433a0dba8af,COMP_TRANSCRIPTOMIC_EVIDENCE
