EnsemblID,universe_ordinal,source_feature_artifact_id,source_feature_sha256,profile_version,evidence_snapshot_version,partition_strategy_version,partition_id
ENSG00000248551.1,1,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p7f
ENSG00000108576.9,2,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pda
ENSG00000186994.11,3,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pd7
ENSG00000224215.1,4,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pdc
ENSG00000244215.1,5,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pa1
ENSG00000182010.10,6,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pc8
ENSG00000237167.1,7,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p68
ENSG00000180440.3,8,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pd5
ENSG00000198358.4,9,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pbf
ENSG00000170323.8,10,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pe2
ENSG00000266120.1,11,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pd3
ENSG00000261863.1,12,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,paa
ENSG00000163815.5,13,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pb2
ENSG00000158764.6,14,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p92
ENSG00000135604.9,15,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p22
ENSG00000165312.6,16,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p60
ENSG00000235387.2,17,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p98
ENSG00000234281.5,18,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pd3
ENSG00000105227.14,19,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p97
ENSG00000034971.16,20,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p52
ENSG00000120156.20,21,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p08
ENSG00000132622.10,22,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,pe0
ENSG00000131477.10,23,ART_TASK026_TRANSCRIPTOMIC_FEATURES_V0_1,4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,FULL_UNIVERSE_TARGET_EVIDENCE_PROFILE_V0.1,TASK026_TRANSCRIPTOMIC_FEATURES_SHA256_4014469439ff14d27c451a356cf7711daa7a5331c58326eced2cf96edb298844,ENSEMBL_SHA256_PREFIX_2_V0.1,p25
