"field_name","R_class","audit_category","relevant_to_replicate_ffpe_audit","n_records","n_nonmissing","n_missing","n_unique_nonmissing","example_values"
"rail_id","integer","other",FALSE,601,601,0,601,"106670 | 106782 | 107654 | 107655 | 107703"
"external_id","character","other",FALSE,601,601,0,601,"5b1e3218-61b6-4d10-8815-c1038c739f05 | c3257122-09a9-449c-be4a-107703def60c | 6a4c997f-2f28-4888-8d4c-c2dc8b108520 | dc7450dc-4a7a-48ee-bef1-f5e5b46db020 | 642c8ec2-4829-4b2b-af17-a6b52a793e26"
"study","character","other",FALSE,601,601,0,1,"LUAD"
"tcga.tcga_barcode","character","other",FALSE,601,601,0,600,"TCGA-55-7911-01A-11R-2170-07 | TCGA-44-2656-01A-02R-0946-07 | TCGA-44-2657-11A-01R-1758-07 | TCGA-44-5644-01A-21R-2039-07 | TCGA-55-8616-01A-11R-2403-07"
"tcga.gdc_file_id","character","other",FALSE,601,601,0,601,"5b1e3218-61b6-4d10-8815-c1038c739f05 | c3257122-09a9-449c-be4a-107703def60c | 6a4c997f-2f28-4888-8d4c-c2dc8b108520 | dc7450dc-4a7a-48ee-bef1-f5e5b46db020 | 642c8ec2-4829-4b2b-af17-a6b52a793e26"
"tcga.gdc_cases.project.name","character","other",FALSE,601,601,0,1,"Lung Adenocarcinoma"
"tcga.gdc_cases.project.released","logical","other",FALSE,601,601,0,1,"TRUE"
"tcga.gdc_cases.project.state","character","other",FALSE,601,601,0,1,"legacy"
"tcga.gdc_cases.project.primary_site","character","other",FALSE,601,601,0,1,"Lung"
"tcga.gdc_cases.project.project_id","character","other",FALSE,601,601,0,1,"TCGA-LUAD"
"tcga.cgc_sample_sample_type","character","sample",TRUE,601,601,0,3,"Primary Tumor | Solid Tissue Normal | Recurrent Tumor"
"tcga.gdc_cases.case_id","character","other",FALSE,601,601,0,517,"1f0a5312-0590-4230-9da9-fd0cfe693586 | 42ca54fc-c1ae-41cd-bca1-7fe9810db460 | f40301ba-831e-4afd-9ce8-5f3c1a05ff7e | 1fc81cd4-fa89-4135-8c3c-027ffae82b05 | fe714ac0-f874-426a-924b-a2980232b5f7"
"tcga.gdc_updated_datetime","character","other",FALSE,601,601,0,599,"2016-08-06T14:15:38.873654-05:00 | 2016-08-05T02:42:39.839282-05:00 | 2016-08-09T13:57:28.782099-05:00 | 2016-08-09T14:05:07.350915-05:00 | 2016-08-05T03:06:51.420797-05:00"
"tcga.gdc_file_name","character","other",FALSE,601,601,0,601,"UNCID_2193443.9142e848-c5cb-41c1-b80f-5f7674f9a1cb.120402_UNC9-SN296_0290_BC0M6TACXX_3_CAGATC.tar.gz | UNCID_2200469.7b9dc578-8869-4322-a705-bfb9942d9b65.111130_UNC10-SN254_0310_BC06BYACXX_5_GATCAG.tar.gz | UNCID_2187834.ca16fef9-9795-4a33-899f-9bf111ee093e.120723_UNC10-SN254_0372_AC0T70ACXX_7_GATCAG.tar.gz | UNCID_2198905.44205bf0-b593-4c0d-9aeb-4e604314e10f.120109_UNC15-SN850_0161_AD0J66ACXX_6_CTTGTA.tar.gz | UNCID_2182185.78dd0304-d459-4d26-b0ba-39a8078c59d0.130225_UNC12-SN629_0259_BD1TW9ACXX_6_CTTGTA.tar.gz"
