"concept","available_field_count","fields_with_any_value_count","available_fields","fields_with_any_value"
"is_ffpe",2,2,"tcga.gdc_cases.samples.is_ffpe;tcga.cgc_sample_is_ffpe","tcga.gdc_cases.samples.is_ffpe;tcga.cgc_sample_is_ffpe"
"preservation_method",0,0,"",""
"sample_or_vial",18,18,"tcga.cgc_sample_sample_type;tcga.gdc_cases.samples.sample_type_id;tcga.gdc_cases.samples.submitter_id;tcga.gdc_cases.samples.sample_id;tcga.gdc_cases.samples.sample_type;tcga.cgc_sample_country_of_sample_procurement;tcga.cgc_sample_is_ffpe;tcga.cgc_sample_sample_type_code;tcga.cgc_sample_shortest_dimension;tcga.cgc_sample_tissue_source_site;tcga.cgc_sample_days_to_collection;tcga.cgc_sample_portion;tcga.cgc_sample_intermediate_dimension;tcga.cgc_sample_tissue_source_site_code;tcga.cgc_sample_file;tcga.cgc_sample_initial_weight;tcga.cgc_sample_id;tcga.cgc_sample_longest_dimension","tcga.cgc_sample_sample_type;tcga.gdc_cases.samples.sample_type_id;tcga.gdc_cases.samples.submitter_id;tcga.gdc_cases.samples.sample_id;tcga.gdc_cases.samples.sample_type;tcga.cgc_sample_country_of_sample_procurement;tcga.cgc_sample_is_ffpe;tcga.cgc_sample_sample_type_code;tcga.cgc_sample_shortest_dimension;tcga.cgc_sample_tissue_source_site;tcga.cgc_sample_days_to_collection;tcga.cgc_sample_portion;tcga.cgc_sample_intermediate_dimension;tcga.cgc_sample_tissue_source_site_code;tcga.cgc_sample_file;tcga.cgc_sample_initial_weight;tcga.cgc_sample_id;tcga.cgc_sample_longest_dimension"
"portion",30,22,"tcga.gdc_cases.samples.portions.creation_datetime;tcga.gdc_cases.samples.portions.portion_number;tcga.gdc_cases.samples.portions.weight;tcga.gdc_cases.samples.portions.submitter_id;tcga.gdc_cases.samples.portions.portion_id;tcga.gdc_cases.samples.portions.analytes.analyte_type;tcga.gdc_cases.samples.portions.analytes.submitter_id;tcga.gdc_cases.samples.portions.analytes.analyte_id;tcga.gdc_cases.samples.portions.analytes.a260_a280_ratio;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.gdc_cases.samples.portions.analytes.spectrophotometer_method;tcga.gdc_cases.samples.portions.analytes.analyte_type_id;tcga.gdc_cases.samples.portions.analytes.aliquots.source_center;tcga.gdc_cases.samples.portions.analytes.aliquots.submitter_id;tcga.gdc_cases.samples.portions.analytes.aliquots.aliquot_id;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration;tcga.gdc_cases.samples.portions.annotations.category;tcga.gdc_cases.samples.portions.annotations.status;tcga.gdc_cases.samples.portions.annotations.classification;tcga.gdc_cases.samples.portions.annotations.updated_datetime;tcga.gdc_cases.samples.portions.annotations.created_datetime;tcga.gdc_cases.samples.portions.annotations.notes;tcga.gdc_cases.samples.portions.annotations.submitter_id;tcga.gdc_cases.samples.portions.annotations.annotation_id;tcga.cgc_portion_portion_number;tcga.cgc_portion_weight;tcga.cgc_portion_slide;tcga.cgc_portion_analyte;tcga.cgc_portion_file;tcga.cgc_portion_id","tcga.gdc_cases.samples.portions.creation_datetime;tcga.gdc_cases.samples.portions.portion_number;tcga.gdc_cases.samples.portions.weight;tcga.gdc_cases.samples.portions.submitter_id;tcga.gdc_cases.samples.portions.portion_id;tcga.gdc_cases.samples.portions.analytes.analyte_type;tcga.gdc_cases.samples.portions.analytes.submitter_id;tcga.gdc_cases.samples.portions.analytes.analyte_id;tcga.gdc_cases.samples.portions.analytes.a260_a280_ratio;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.gdc_cases.samples.portions.analytes.spectrophotometer_method;tcga.gdc_cases.samples.portions.analytes.analyte_type_id;tcga.gdc_cases.samples.portions.analytes.aliquots.source_center;tcga.gdc_cases.samples.portions.analytes.aliquots.submitter_id;tcga.gdc_cases.samples.portions.analytes.aliquots.aliquot_id;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration;tcga.cgc_portion_portion_number;tcga.cgc_portion_weight;tcga.cgc_portion_slide;tcga.cgc_portion_analyte;tcga.cgc_portion_file;tcga.cgc_portion_id"
"analyte",13,13,"tcga.gdc_cases.samples.portions.analytes.analyte_type;tcga.gdc_cases.samples.portions.analytes.submitter_id;tcga.gdc_cases.samples.portions.analytes.analyte_id;tcga.gdc_cases.samples.portions.analytes.a260_a280_ratio;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.gdc_cases.samples.portions.analytes.spectrophotometer_method;tcga.gdc_cases.samples.portions.analytes.analyte_type_id;tcga.gdc_cases.samples.portions.analytes.aliquots.source_center;tcga.gdc_cases.samples.portions.analytes.aliquots.submitter_id;tcga.gdc_cases.samples.portions.analytes.aliquots.aliquot_id;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration;tcga.cgc_file_analyte;tcga.cgc_portion_analyte","tcga.gdc_cases.samples.portions.analytes.analyte_type;tcga.gdc_cases.samples.portions.analytes.submitter_id;tcga.gdc_cases.samples.portions.analytes.analyte_id;tcga.gdc_cases.samples.portions.analytes.a260_a280_ratio;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.gdc_cases.samples.portions.analytes.spectrophotometer_method;tcga.gdc_cases.samples.portions.analytes.analyte_type_id;tcga.gdc_cases.samples.portions.analytes.aliquots.source_center;tcga.gdc_cases.samples.portions.analytes.aliquots.submitter_id;tcga.gdc_cases.samples.portions.analytes.aliquots.aliquot_id;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration;tcga.cgc_file_analyte;tcga.cgc_portion_analyte"
"aliquot",5,5,"tcga.gdc_cases.samples.portions.analytes.aliquots.source_center;tcga.gdc_cases.samples.portions.analytes.aliquots.submitter_id;tcga.gdc_cases.samples.portions.analytes.aliquots.aliquot_id;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration;tcga.cgc_file_aliquot","tcga.gdc_cases.samples.portions.analytes.aliquots.source_center;tcga.gdc_cases.samples.portions.analytes.aliquots.submitter_id;tcga.gdc_cases.samples.portions.analytes.aliquots.aliquot_id;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration;tcga.cgc_file_aliquot"
"tumor_descriptor",0,0,"",""
"tissue_type",0,0,"",""
"annotations",16,0,"tcga.gdc_cases.samples.portions.annotations.category;tcga.gdc_cases.samples.portions.annotations.status;tcga.gdc_cases.samples.portions.annotations.classification;tcga.gdc_cases.samples.portions.annotations.updated_datetime;tcga.gdc_cases.samples.portions.annotations.created_datetime;tcga.gdc_cases.samples.portions.annotations.notes;tcga.gdc_cases.samples.portions.annotations.submitter_id;tcga.gdc_cases.samples.portions.annotations.annotation_id;tcga.gdc_cases.samples.annotations.category;tcga.gdc_cases.samples.annotations.status;tcga.gdc_cases.samples.annotations.classification;tcga.gdc_cases.samples.annotations.updated_datetime;tcga.gdc_cases.samples.annotations.created_datetime;tcga.gdc_cases.samples.annotations.notes;tcga.gdc_cases.samples.annotations.submitter_id;tcga.gdc_cases.samples.annotations.annotation_id",""
"qc_or_flags",91,91,"recount_qc.aligned_reads..chrm;recount_qc.aligned_reads..chrx;recount_qc.aligned_reads..chry;recount_qc.bc_auc.all_reads_all_bases;recount_qc.bc_auc.all_reads_annotated_bases;recount_qc.bc_auc.unique_reads_all_bases;recount_qc.bc_auc.unique_reads_annotated_bases;recount_qc.bc_auc.all_.;recount_qc.bc_auc.unique_.;recount_qc.bc_frag.count;recount_qc.bc_frag.kallisto_count;recount_qc.bc_frag.kallisto_mean_length;recount_qc.bc_frag.mean_length;recount_qc.bc_frag.mode_length;recount_qc.bc_frag.mode_length_count;recount_qc.exon_fc.all_.;recount_qc.exon_fc.unique_.;recount_qc.exon_fc_count_all.total;recount_qc.exon_fc_count_all.assigned;recount_qc.exon_fc_count_unique.total;recount_qc.exon_fc_count_unique.assigned;recount_qc.gene_fc.all_.;recount_qc.gene_fc.unique_.;recount_qc.gene_fc_count_all.total;recount_qc.gene_fc_count_all.assigned;recount_qc.gene_fc_count_unique.total;recount_qc.gene_fc_count_unique.assigned;recount_qc.intron_sum;recount_qc.intron_sum_.;recount_qc.star.._of_chimeric_reads;recount_qc.star.._of_reads_mapped_to_multiple_loci;recount_qc.star.._of_reads_mapped_to_too_many_loci;recount_qc.star.._of_reads_unmapped._other;recount_qc.star.._of_reads_unmapped._too_many_mismatches;recount_qc.star.._of_reads_unmapped._too_short;recount_qc.star.all_mapped_reads;recount_qc.star.average_input_read_length;recount_qc.star.average_mapped_length;recount_qc.star.deletion_average_length;recount_qc.star.deletion_rate_per_base;recount_qc.star.insertion_average_length;recount_qc.star.insertion_rate_per_base;recount_qc.star.mapping_speed._million_of_reads_per_hour;recount_qc.star.mismatch_rate_per_base._.;recount_qc.star.number_of_chimeric_reads;recount_qc.star.number_of_input_reads;recount_qc.star.number_of_reads_mapped_to_multiple_loci;recount_qc.star.number_of_reads_mapped_to_too_many_loci;recount_qc.star.number_of_reads_unmapped._other;recount_qc.star.number_of_reads_unmapped._too_many_mismatches;recount_qc.star.number_of_reads_unmapped._too_short;recount_qc.star.number_of_splices._at.ac;recount_qc.star.number_of_splices._annotated_.sjdb.;recount_qc.star.number_of_splices._gc.ag;recount_qc.star.number_of_splices._gt.ag;recount_qc.star.number_of_splices._non.canonical;recount_qc.star.number_of_splices._total;recount_qc.star.uniquely_mapped_reads_.;recount_qc.star.uniquely_mapped_reads_number;recount_qc.junction_count;recount_qc.junction_coverage;recount_qc.junction_avg_coverage;recount_qc.star.number_of_input_reads_both;recount_qc.star.all_mapped_reads_both;recount_qc.star.number_of_chimeric_reads_both;recount_qc.star.number_of_reads_mapped_to_multiple_loci_both;recount_qc.star.number_of_reads_mapped_to_too_many_loci_both;recount_qc.star.number_of_reads_unmapped._other_both;recount_qc.star.number_of_reads_unmapped._too_many_mismatches_both;recount_qc.star.number_of_reads_unmapped._too_short_both;recount_qc.star.uniquely_mapped_reads_number_both;recount_qc.star.._mapped_reads_both;recount_qc.star.._chimeric_reads_both;recount_qc.star.._reads_mapped_to_multiple_loci_both;recount_qc.star.._reads_mapped_to_too_many_loci_both;recount_qc.star.._reads_unmapped._other_both;recount_qc.star.._reads_unmapped._too_many_mismatches_both;recount_qc.star.._reads_unmapped._too_short_both;recount_qc.star.uniquely_mapped_reads_._both;recount_seq_qc.min_len;recount_seq_qc.max_len;recount_seq_qc.avg_len;recount_seq_qc..distinct_quality_values;recount_seq_qc..bases;recount_seq_qc..a;recount_seq_qc..c;recount_seq_qc..g;recount_seq_qc..t;recount_seq_qc..n;recount_seq_qc.avgq;recount_seq_qc.errq","recount_qc.aligned_reads..chrm;recount_qc.aligned_reads..chrx;recount_qc.aligned_reads..chry;recount_qc.bc_auc.all_reads_all_bases;recount_qc.bc_auc.all_reads_annotated_bases;recount_qc.bc_auc.unique_reads_all_bases;recount_qc.bc_auc.unique_reads_annotated_bases;recount_qc.bc_auc.all_.;recount_qc.bc_auc.unique_.;recount_qc.bc_frag.count;recount_qc.bc_frag.kallisto_count;recount_qc.bc_frag.kallisto_mean_length;recount_qc.bc_frag.mean_length;recount_qc.bc_frag.mode_length;recount_qc.bc_frag.mode_length_count;recount_qc.exon_fc.all_.;recount_qc.exon_fc.unique_.;recount_qc.exon_fc_count_all.total;recount_qc.exon_fc_count_all.assigned;recount_qc.exon_fc_count_unique.total;recount_qc.exon_fc_count_unique.assigned;recount_qc.gene_fc.all_.;recount_qc.gene_fc.unique_.;recount_qc.gene_fc_count_all.total;recount_qc.gene_fc_count_all.assigned;recount_qc.gene_fc_count_unique.total;recount_qc.gene_fc_count_unique.assigned;recount_qc.intron_sum;recount_qc.intron_sum_.;recount_qc.star.._of_chimeric_reads;recount_qc.star.._of_reads_mapped_to_multiple_loci;recount_qc.star.._of_reads_mapped_to_too_many_loci;recount_qc.star.._of_reads_unmapped._other;recount_qc.star.._of_reads_unmapped._too_many_mismatches;recount_qc.star.._of_reads_unmapped._too_short;recount_qc.star.all_mapped_reads;recount_qc.star.average_input_read_length;recount_qc.star.average_mapped_length;recount_qc.star.deletion_average_length;recount_qc.star.deletion_rate_per_base;recount_qc.star.insertion_average_length;recount_qc.star.insertion_rate_per_base;recount_qc.star.mapping_speed._million_of_reads_per_hour;recount_qc.star.mismatch_rate_per_base._.;recount_qc.star.number_of_chimeric_reads;recount_qc.star.number_of_input_reads;recount_qc.star.number_of_reads_mapped_to_multiple_loci;recount_qc.star.number_of_reads_mapped_to_too_many_loci;recount_qc.star.number_of_reads_unmapped._other;recount_qc.star.number_of_reads_unmapped._too_many_mismatches;recount_qc.star.number_of_reads_unmapped._too_short;recount_qc.star.number_of_splices._at.ac;recount_qc.star.number_of_splices._annotated_.sjdb.;recount_qc.star.number_of_splices._gc.ag;recount_qc.star.number_of_splices._gt.ag;recount_qc.star.number_of_splices._non.canonical;recount_qc.star.number_of_splices._total;recount_qc.star.uniquely_mapped_reads_.;recount_qc.star.uniquely_mapped_reads_number;recount_qc.junction_count;recount_qc.junction_coverage;recount_qc.junction_avg_coverage;recount_qc.star.number_of_input_reads_both;recount_qc.star.all_mapped_reads_both;recount_qc.star.number_of_chimeric_reads_both;recount_qc.star.number_of_reads_mapped_to_multiple_loci_both;recount_qc.star.number_of_reads_mapped_to_too_many_loci_both;recount_qc.star.number_of_reads_unmapped._other_both;recount_qc.star.number_of_reads_unmapped._too_many_mismatches_both;recount_qc.star.number_of_reads_unmapped._too_short_both;recount_qc.star.uniquely_mapped_reads_number_both;recount_qc.star.._mapped_reads_both;recount_qc.star.._chimeric_reads_both;recount_qc.star.._reads_mapped_to_multiple_loci_both;recount_qc.star.._reads_mapped_to_too_many_loci_both;recount_qc.star.._reads_unmapped._other_both;recount_qc.star.._reads_unmapped._too_many_mismatches_both;recount_qc.star.._reads_unmapped._too_short_both;recount_qc.star.uniquely_mapped_reads_._both;recount_seq_qc.min_len;recount_seq_qc.max_len;recount_seq_qc.avg_len;recount_seq_qc..distinct_quality_values;recount_seq_qc..bases;recount_seq_qc..a;recount_seq_qc..c;recount_seq_qc..g;recount_seq_qc..t;recount_seq_qc..n;recount_seq_qc.avgq;recount_seq_qc.errq"
