"tcga_sample_barcode","case_submitter_id","relationship","first_expression_record_index","first_aliquot_barcode","first_candidate_status","second_expression_record_index","second_aliquot_barcode","second_candidate_status","raw_read_counts_exactly_identical","raw_read_count_pearson","raw_read_count_spearman","maximum_absolute_read_count_difference","first_read_count_library_size","second_read_count_library_size","second_to_first_library_size_ratio","first_star_all_mapped_reads","second_star_all_mapped_reads"
"TCGA-38-4625-01","TCGA-38-4625","same_aliquot_multiple_expression_records",412,"TCGA-38-4625-01A-01R-1206-07","replicate_review",417,"TCGA-38-4625-01A-01R-1206-07","replicate_review",FALSE,0.998922565350504,0.96425930702715,214917,110919713,93582157,0.843692743777655,110350258,93180083
"TCGA-44-2656-01","TCGA-44-2656","same_analyte_multiple_aliquots",2,"TCGA-44-2656-01A-02R-0946-07","canonical_candidate",443,"TCGA-44-2656-01A-02R-A278-07","ffpe_exclude_candidate",FALSE,0.207884060403174,0.908064374962597,3151701,97684569,71297361,0.729873323185774,98483477,94223385
"TCGA-44-2656-01","TCGA-44-2656","different_vials_same_TCGA_sample_type",2,"TCGA-44-2656-01A-02R-0946-07","canonical_candidate",537,"TCGA-44-2656-01B-06R-A277-07","ffpe_exclude_candidate",FALSE,0.126435746059997,0.854598860043128,1677427,97684569,23802621,0.243668178543123,98483477,77603439
"TCGA-44-2656-01","TCGA-44-2656","different_vials_same_TCGA_sample_type",443,"TCGA-44-2656-01A-02R-A278-07","ffpe_exclude_candidate",537,"TCGA-44-2656-01B-06R-A277-07","ffpe_exclude_candidate",FALSE,0.408985329578491,0.932467815514667,2802195,71297361,23802621,0.333849958345583,94223385,77603439
"TCGA-44-2662-01","TCGA-44-2662","same_analyte_multiple_aliquots",115,"TCGA-44-2662-01A-01R-A278-07","ffpe_exclude_candidate",377,"TCGA-44-2662-01A-01R-0946-07","canonical_candidate",FALSE,0.140260688875644,0.926481696203687,4283804,68087784,80217401,1.17814674362144,96662777,81186354
"TCGA-44-2662-01","TCGA-44-2662","different_vials_same_TCGA_sample_type",115,"TCGA-44-2662-01A-01R-A278-07","ffpe_exclude_candidate",523,"TCGA-44-2662-01B-02R-A277-07","ffpe_exclude_candidate",FALSE,0.374812486999934,0.882278229425383,4071438,68087784,20044025,0.294385039759849,96662777,78713207
"TCGA-44-2662-01","TCGA-44-2662","different_vials_same_TCGA_sample_type",377,"TCGA-44-2662-01A-01R-0946-07","canonical_candidate",523,"TCGA-44-2662-01B-02R-A277-07","ffpe_exclude_candidate",FALSE,0.199246553844595,0.831931253104237,953934,80217401,20044025,0.249871284161899,81186354,78713207
"TCGA-44-2665-01","TCGA-44-2665","same_analyte_multiple_aliquots",93,"TCGA-44-2665-01A-01R-A278-07","ffpe_exclude_candidate",285,"TCGA-44-2665-01A-01R-0946-07","canonical_candidate",FALSE,0.0832721929362089,0.909158284388829,9432592,80015050,64429375,0.805215706295253,88389525,65560921
"TCGA-44-2665-01","TCGA-44-2665","different_vials_same_TCGA_sample_type",93,"TCGA-44-2665-01A-01R-A278-07","ffpe_exclude_candidate",356,"TCGA-44-2665-01B-06R-A277-07","ffpe_exclude_candidate",FALSE,0.0723820928383352,0.905658866402861,9403374,80015050,10362782,0.129510410853958,88389525,43373807
"TCGA-44-2665-01","TCGA-44-2665","different_vials_same_TCGA_sample_type",285,"TCGA-44-2665-01A-01R-0946-07","canonical_candidate",356,"TCGA-44-2665-01B-06R-A277-07","ffpe_exclude_candidate",FALSE,0.106940090194861,0.846035635622918,1025813,64429375,10362782,0.160839399730325,65560921,43373807
"TCGA-44-2666-01","TCGA-44-2666","different_vials_same_TCGA_sample_type",260,"TCGA-44-2666-01A-01R-A278-07","ffpe_exclude_candidate",335,"TCGA-44-2666-01B-02R-A277-07","ffpe_exclude_candidate",FALSE,0.756766170749207,0.933835144056318,4554504,68291108,29845551,0.437034218276265,101354451,99078633
