category,scope,metric,value,denominator,percent,status,detail
ASSERTION,ALL_TESTED,REGISTRY_ROW_COUNT,29606,29606,100.000000,PASS,
ASSERTION,ALL_TESTED,UNIQUE_ENSEMBL_ID_COUNT,29606,29606,100.000000,PASS,
ASSERTION,ALL_TESTED,INPUT_ORDER_AND_IDENTITY_PRESERVED,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,PASS,
ASSERTION,U2_EFFECT_SUPPORTED_DE,U2_GENE_COUNT,14064,14064,100.000000,PASS,
ASSERTION,ALL_TESTED,SYMBOL_USED_AS_QUERY_KEY,FALSE,NOT_APPLICABLE,NOT_APPLICABLE,PASS,
ASSERTION,ALL_TESTED,RANKING_OR_PROJECT_SCORE_GENERATED,FALSE,NOT_APPLICABLE,NOT_APPLICABLE,PASS,
ASSERTION,ALL_TESTED,THERAPEUTIC_RECOMMENDATION_GENERATED,FALSE,NOT_APPLICABLE,NOT_APPLICABLE,PASS,
COVERAGE,ALL_TESTED,OPEN_TARGETS_IDENTIFIER_MAPPED,28893,29606,97.591704,INFO,
TRACTABILITY,ALL_TESTED,TARGET_STATUS_TARGET_NOT_MAPPED,713,29606,2.408296,INFO,
TRACTABILITY,ALL_TESTED,TARGET_STATUS_TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,11999,29606,40.528947,INFO,
TRACTABILITY,ALL_TESTED,TARGET_STATUS_TRACTABILITY_RECORD_PRESENT,16894,29606,57.062758,INFO,
TRACTABILITY,ALL_TESTED,SOURCE_ASSESSMENT_RECORD_COUNT,473032,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,SOURCE_TRUE_ASSESSMENT_COUNT,55761,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,ASSESSMENT_RECORD_MODALITY_AB,152046,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,ASSESSMENT_RECORD_MODALITY_AB_VALUE_FALSE,133177,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,ASSESSMENT_RECORD_MODALITY_AB_VALUE_TRUE,18869,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,TARGET_WITH_TRUE_MODALITY_AB,8604,29606,29.061677,INFO,
TRACTABILITY,ALL_TESTED,ASSESSMENT_RECORD_MODALITY_OC,50682,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,ASSESSMENT_RECORD_MODALITY_OC_VALUE_FALSE,50227,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,ASSESSMENT_RECORD_MODALITY_OC_VALUE_TRUE,455,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,TARGET_WITH_TRUE_MODALITY_OC,455,29606,1.536851,INFO,
TRACTABILITY,ALL_TESTED,ASSESSMENT_RECORD_MODALITY_PR,135152,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,ASSESSMENT_RECORD_MODALITY_PR_VALUE_FALSE,109968,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,ASSESSMENT_RECORD_MODALITY_PR_VALUE_TRUE,25184,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,TARGET_WITH_TRUE_MODALITY_PR,13273,29606,44.832129,INFO,
TRACTABILITY,ALL_TESTED,ASSESSMENT_RECORD_MODALITY_SM,135152,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,ASSESSMENT_RECORD_MODALITY_SM_VALUE_FALSE,123899,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,ASSESSMENT_RECORD_MODALITY_SM_VALUE_TRUE,11253,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,ALL_TESTED,TARGET_WITH_TRUE_MODALITY_SM,5819,29606,19.654800,INFO,
SAFETY,ALL_TESTED,TARGET_STATUS_SAFETY_RECORD_PRESENT,898,29606,3.033169,INFO,
SAFETY,ALL_TESTED,TARGET_STATUS_TARGET_NOT_MAPPED,713,29606,2.408296,INFO,
SAFETY,ALL_TESTED,TARGET_STATUS_TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,27995,29606,94.558535,INFO,
SAFETY,ALL_TESTED,SOURCE_LIABILITY_RECORD_COUNT,4087,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,ALL_TESTED,DATASOURCE_RECORD_COUNT_AOP-Wiki,220,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,ALL_TESTED,DATASOURCE_RECORD_COUNT_Bowes et al. (2012),291,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,ALL_TESTED,DATASOURCE_RECORD_COUNT_Brennan et al. (2024),202,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,ALL_TESTED,DATASOURCE_RECORD_COUNT_ClinPGx,1493,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,ALL_TESTED,DATASOURCE_RECORD_COUNT_Force et al. (2011),46,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,ALL_TESTED,DATASOURCE_RECORD_COUNT_Lamore et al. (2017),30,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,ALL_TESTED,DATASOURCE_RECORD_COUNT_Lynch et al. (2017),1198,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,ALL_TESTED,DATASOURCE_RECORD_COUNT_ToxCast,363,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,ALL_TESTED,DATASOURCE_RECORD_COUNT_Urban et al. (2012),244,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
COVERAGE,U2_EFFECT_SUPPORTED_DE,OPEN_TARGETS_IDENTIFIER_MAPPED,13691,14064,97.347838,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,TARGET_STATUS_TARGET_NOT_MAPPED,373,14064,2.652162,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,TARGET_STATUS_TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,5677,14064,40.365472,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,TARGET_STATUS_TRACTABILITY_RECORD_PRESENT,8014,14064,56.982366,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,SOURCE_ASSESSMENT_RECORD_COUNT,224392,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,SOURCE_TRUE_ASSESSMENT_COUNT,26936,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_AB,72126,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_AB_VALUE_FALSE,61198,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_AB_VALUE_TRUE,10928,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,TARGET_WITH_TRUE_MODALITY_AB,4605,14064,32.743174,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_OC,24042,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_OC_VALUE_FALSE,23786,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_OC_VALUE_TRUE,256,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,TARGET_WITH_TRUE_MODALITY_OC,256,14064,1.820250,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_PR,64112,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_PR_VALUE_FALSE,53883,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_PR_VALUE_TRUE,10229,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,TARGET_WITH_TRUE_MODALITY_PR,5749,14064,40.877418,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_SM,64112,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_SM_VALUE_FALSE,58589,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_SM_VALUE_TRUE,5523,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,TARGET_WITH_TRUE_MODALITY_SM,2760,14064,19.624573,INFO,
