EnsemblID,EnsemblID_base,Symbol,gene_type,U2_effect_supported_DE,OpenTargets_target_ID,tractability_retrieval_status,tractability_record_count,tractability_true_assessment_count,tractability_true_SM_count,tractability_true_AB_count,tractability_true_PR_count,tractability_true_OC_count,tractability_true_assessment_ids_by_modality_json,safety_retrieval_status,safety_liability_record_count,source_name,source_release
ENSG00000248551.1,ENSG00000248551,RP11-287F9.2,lincRNA,TRUE,ENSG00000248551,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000108576.9,ENSG00000108576,SLC6A4,protein_coding,TRUE,ENSG00000108576,TRACTABILITY_RECORD_PRESENT,28,9,4,3,1,1,"{""AB"":[""GO CC high conf"",""UniProt SigP or TMHMM"",""UniProt loc high conf""],""OC"":[""Advanced Clinical""],""PR"":[""Small Molecule Binder""],""SM"":[""Approved Drug"",""Druggable Family"",""High-Quality Ligand"",""Structure with Ligand""]}",SAFETY_RECORD_PRESENT,49,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000186994.11,ENSG00000186994,KANK3,protein_coding,TRUE,ENSG00000186994,TRACTABILITY_RECORD_PRESENT,28,1,0,1,0,0,"{""AB"":[""Human Protein Atlas loc""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000224215.1,ENSG00000224215,RP11-371A19.2,antisense,TRUE,ENSG00000224215,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000244215.1,ENSG00000244215,LINC02016,lincRNA,TRUE,ENSG00000244215,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000182010.10,ENSG00000182010,RTKN2,protein_coding,TRUE,ENSG00000182010,TRACTABILITY_RECORD_PRESENT,28,2,0,1,1,0,"{""AB"":[""GO CC med conf""],""PR"":[""Database Ubiquitination""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000237167.1,ENSG00000237167,AC128709.2,lincRNA,TRUE,ENSG00000237167,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000180440.3,ENSG00000180440,SERTM1,protein_coding,TRUE,ENSG00000180440,TRACTABILITY_RECORD_PRESENT,28,1,0,1,0,0,"{""AB"":[""UniProt SigP or TMHMM""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000198358.4,ENSG00000198358,RP11-544M22.1,antisense,TRUE,ENSG00000198358,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000170323.8,ENSG00000170323,FABP4,protein_coding,TRUE,ENSG00000170323,TRACTABILITY_RECORD_PRESENT,28,5,4,0,1,0,"{""PR"":[""Small Molecule Binder""],""SM"":[""Druggable Family"",""High-Quality Ligand"",""High-Quality Pocket"",""Structure with Ligand""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000266120.1,ENSG00000266120,RP11-354P11.2,antisense,TRUE,ENSG00000266120,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000261863.1,ENSG00000261863,LINC01996,lincRNA,TRUE,ENSG00000261863,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
