external_evidence_id,publication_id,EnsemblID,displayed_gene_symbol,disease_context,histology_specificity,evidence_domain,evidence_type,experimental_modality,biological_question,model_system,dataset_or_cohort,intervention_or_perturbation,comparator,outcome,direction_of_observation,qualitative_result,quantitative_result,statistical_result,source_location,evidence_status,major_limitation,provenance_completeness_status
EXT_31024988_01,PUB_PMID_31024988,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,A_TRANSCRIPTOMIC_EXPRESSION,MULTI_GEO_REANALYSIS,microarray reanalysis,Is MMP11 transcript abundance altered in LUAD?,Human tumour transcriptomes,GSE7670|GSE10072|GSE68465|GSE43458,NONE,Normal lung,MMP11 expression,TUMOUR_HIGHER,MMP11 was the highest-upregulated MMP in the joint analysis.,Four GEO cohorts; source-native fold estimates shown in Figure 1,Reported as significant in source,Figure 1; Results: MMP11 Is Significantly Upregulated,OBSERVED_SUPPORTIVE,Joint reanalysis combines heterogeneous GEO cohorts; not four independent evidence votes.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_31024988_02,PUB_PMID_31024988,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,A_TRANSCRIPTOMIC_EXPRESSION,TCGA_REANALYSIS,RNA-seq reanalysis,Does TCGA-LUAD reproduce tumour-associated expression?,Human tumour transcriptomes,TCGA-LUAD,NONE,Adjacent normal,MMP11 expression,TUMOUR_HIGHER,TCGA analysis showed higher tumour expression.,Approximately five-fold higher,Source reports significance,Figure 2A,OBSERVED_SUPPORTIVE,Shares TCGA-LUAD biological data lineage with Task #039A; not independent replication.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_31024988_03,PUB_PMID_31024988,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,B_PROTEIN_TISSUE,PATIENT_IHC,immunohistochemistry,Where is MMP11 protein observed in LUAD tissue?,18 human LUAD biopsies,COHORT_2019_LUAD_18,NONE,Adjacent tissue,MMP11 staining,TUMOUR_HIGHER,Strong staining was described in transformed cancer cells with little or no staining in adjacent stroma.,n=18,Descriptive/source figure,Figure 2B,OBSERVED_SUPPORTIVE,Small cohort; staining assessment and selection details limit generalization.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_31024988_04,PUB_PMID_31024988,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,B_PROTEIN_TISSUE,SERUM_ELISA,ELISA,Is circulating MMP11 higher in patients with LUAD?,Human serum,COHORT_2019_SERUM,NONE,Healthy donors,Serum MMP11,HIGHER_IN_LUAD,Serum MMP11 was higher in the LUAD group.,18 LUAD; 11 healthy,p<0.01,Figure 2C,OBSERVED_SUPPORTIVE,Small cross-sectional cohort; diagnostic specificity was not established.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_31024988_05,PUB_PMID_31024988,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,D_FUNCTIONAL_PERTURBATION,CRISPR_PROLIFERATION,CRISPR/Cas9 knockout,Does MMP11 depletion alter LUAD-cell proliferation?,A549 LUAD cells,MODEL_A549_CRISPR,Two MMP11 guide RNAs,Scrambled/control cells,"Proliferation, Ki67, colony formation",DECREASED_AFTER_DEPLETION,MMP11 depletion reduced proliferation-related readouts.,Proliferation >60% lower; colonies nearly 60% lower,Source significance markers,Figure 2D-F,OBSERVED_SUPPORTIVE,Single cell line for this evidence unit; CRISPR off-target and clonal effects require consideration.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_31024988_06,PUB_PMID_31024988,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,E_MECHANISTIC,SIGNALLING_READOUT,immunoblot after CRISPR,Does MMP11 depletion alter AKT phosphorylation?,A549 LUAD cells,MODEL_A549_CRISPR,MMP11 CRISPR,Control cells,phospho-AKT,DECREASED_AFTER_DEPLETION,Phosphorylated AKT was reduced after depletion.,No source-normalized effect size extracted,Source figure,Figure 2G,CONTEXT_DEPENDENT,Downstream readout does not establish a complete causal pathway.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_31024988_07,PUB_PMID_31024988,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,D_FUNCTIONAL_PERTURBATION,CRISPR_RESCUE,CRISPR plus transient rescue,Can MMP11 re-expression partially restore proliferation phenotypes?,PC9 LUAD cells,MODEL_PC9_RESCUE,MMP11 depletion then transient MMP11 expression,Depletion and control conditions,"Proliferation, Ki67, colonies",PARTIALLY_RESTORED,Depletion-associated reductions were reported as partially rescued.,Source figure; no single aggregate effect,Source significance markers,Figure 3,OBSERVED_SUPPORTIVE,Transient rescue and source-text wording inconsistencies require cautious interpretation.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_31024988_08,PUB_PMID_31024988,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,D_FUNCTIONAL_PERTURBATION,MIGRATION_INVASION,wound healing and transwell,Does MMP11 depletion alter migration/invasion?,A549 and PC9 LUAD cells,MODEL_LUAD_MIGRATION,MMP11 CRISPR with rescue conditions,Control cells,Migration and invasion,DECREASED_AFTER_DEPLETION,Migration/invasion readouts decreased; rescue was partial.,A549 invasion approximately 60% lower; n=3-5 by assay,Source significance markers,Figure 5,OBSERVED_SUPPORTIVE,Assays share cell systems and publication; migration assays are not metastasis outcomes.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_31024988_09,PUB_PMID_31024988,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,G_INTERVENTION,ANTIBODY_IN_VITRO,antibody exposure,Does an anti-MMP11 antibody alter LUAD-cell growth?,A549 and PC9 LUAD cells,MODEL_ANTIBODY_IN_VITRO,Anti-MMP11 antibody 1-10 microgram/mL,0 microgram/mL,Cell growth,DECREASED_WITH_ANTIBODY,Growth inhibition was reported from 1 microgram/mL.,n=4; followed to 96 h,Source significance markers,Figure 4,OBSERVED_SUPPORTIVE,Reagent specificity and translational pharmacology were not independently established.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_31024988_10,PUB_PMID_31024988,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,G_INTERVENTION,ANTIBODY_MIGRATION,antibody exposure plus wound healing,Does an anti-MMP11 antibody alter migration?,A549 and PC9 LUAD cells,MODEL_ANTIBODY_MIGRATION,Anti-MMP11 antibody 0.5-1 microgram/mL,0 microgram/mL,Migration,DECREASED_WITH_ANTIBODY,Migration decreased with antibody exposure.,n=5,Source significance markers,Figure 6,OBSERVED_SUPPORTIVE,Same antibody and cell systems as other paper experiments; not an independent replication.,COMPLETE_PRIMARY_SOURCE_TRACE
